icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
paw-heart,animal,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BA9mWS2uwaABiRnkLZiyDRdY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.600617,,1
paw-heart,heart,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BA9mWS2uwaABiRnkLZiyDRdY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.600617,,1
paw-heart,paw,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BA9mWS2uwaABiRnkLZiyDRdY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.600617,,1
paw-heart,adoption,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BA9mWS2uwaABiRnkLZiyDRdY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.600617,,1
paw-heart,affection,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BA9mWS2uwaABiRnkLZiyDRdY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.600617,,1
paw-heart,bond,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BA9mWS2uwaABiRnkLZiyDRdY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.600617,,1
paw-heart,care,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BA9mWS2uwaABiRnkLZiyDRdY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.600617,,1
paw-heart,compassion,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BA9mWS2uwaABiRnkLZiyDRdY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.600617,,1
paw-heart,empathy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BA9mWS2uwaABiRnkLZiyDRdY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.600617,,1
paw-heart,friendship,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BA9mWS2uwaABiRnkLZiyDRdY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.600617,,1
paw-heart,kindness,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BA9mWS2uwaABiRnkLZiyDRdY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.600617,,1
paw-heart,love,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BA9mWS2uwaABiRnkLZiyDRdY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.600617,,1
paw-heart,loyalty,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BA9mWS2uwaABiRnkLZiyDRdY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.600617,,1
paw-heart,pet,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BA9mWS2uwaABiRnkLZiyDRdY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.600617,,1
paw-heart,protection,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BA9mWS2uwaABiRnkLZiyDRdY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.600617,,1
paw-heart,shelter,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BA9mWS2uwaABiRnkLZiyDRdY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.600617,,1
paw-heart,support,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BA9mWS2uwaABiRnkLZiyDRdY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.600617,,1
paw-heart,symbol,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BA9mWS2uwaABiRnkLZiyDRdY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.600617,,1
paw-heart,togetherness,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BA9mWS2uwaABiRnkLZiyDRdY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.600617,,1
paw-heart,trust,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BA9mWS2uwaABiRnkLZiyDRdY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.600617,,1
paw-heart,welfare,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BA9mWS2uwaABiRnkLZiyDRdY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.600617,,1
paw-heart,nature,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BA9mWS2uwaABiRnkLZiyDRdY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.600617,,1
paw-heart,security,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BA9mWS2uwaABiRnkLZiyDRdY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.600617,,1
