icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
peach,food,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_nxx9PcNHydG1ncwNgmrbJVMq,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.128001,,1
peach,fruit,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_nxx9PcNHydG1ncwNgmrbJVMq,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.128001,,2
peach,peach,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_nxx9PcNHydG1ncwNgmrbJVMq,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.128001,,2
peach,shape,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_nxx9PcNHydG1ncwNgmrbJVMq,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.128001,,2
peach,stem,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_LYTanTEAOYRYAfyGU4s9tlJm,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.093343,,1
peach,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_LYTanTEAOYRYAfyGU4s9tlJm,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.093343,,1
peach,botanical,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_nxx9PcNHydG1ncwNgmrbJVMq,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.128001,,2
peach,curved lines,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_LYTanTEAOYRYAfyGU4s9tlJm,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.093343,,1
peach,freshness,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_LYTanTEAOYRYAfyGU4s9tlJm,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.093343,,1
peach,garden,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_LYTanTEAOYRYAfyGU4s9tlJm,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.093343,,1
