icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
pentagram-rose,compass,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fYWPIkFAKKOheniAKtsSVGK3,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.611577,,2
pentagram-rose,direction,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fYWPIkFAKKOheniAKtsSVGK3,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.611577,,1
pentagram-rose,flower,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_o3VP6Ixa07y4cydYhFfGyXuL,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.982819,,1
pentagram-rose,guidance,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fYWPIkFAKKOheniAKtsSVGK3,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.611577,,1
pentagram-rose,navigation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fYWPIkFAKKOheniAKtsSVGK3,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.611577,,2
pentagram-rose,orientation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fYWPIkFAKKOheniAKtsSVGK3,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.611577,,1
pentagram-rose,pentagram,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_o3VP6Ixa07y4cydYhFfGyXuL,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.982819,,1
pentagram-rose,rose,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_o3VP6Ixa07y4cydYhFfGyXuL,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.982819,,1
pentagram-rose,star,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_o3VP6Ixa07y4cydYhFfGyXuL,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.982819,,1
pentagram-rose,symbolism,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_o3VP6Ixa07y4cydYhFfGyXuL,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.982819,,1
pentagram-rose,symmetry,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_o3VP6Ixa07y4cydYhFfGyXuL,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.982819,,1
pentagram-rose,360 degrees,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fYWPIkFAKKOheniAKtsSVGK3,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.611577,,1
pentagram-rose,abstract art,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_o3VP6Ixa07y4cydYhFfGyXuL,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.982819,,1
pentagram-rose,arrows,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fYWPIkFAKKOheniAKtsSVGK3,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.611577,,1
pentagram-rose,balance,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_o3VP6Ixa07y4cydYhFfGyXuL,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.982819,,1
pentagram-rose,cartography,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fYWPIkFAKKOheniAKtsSVGK3,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.611577,,1
pentagram-rose,center,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fYWPIkFAKKOheniAKtsSVGK3,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.611577,,1
pentagram-rose,circle,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fYWPIkFAKKOheniAKtsSVGK3,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.611577,,2
pentagram-rose,decoration,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_o3VP6Ixa07y4cydYhFfGyXuL,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.982819,,1
pentagram-rose,design,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_o3VP6Ixa07y4cydYhFfGyXuL,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.982819,,1
pentagram-rose,destination,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fYWPIkFAKKOheniAKtsSVGK3,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.611577,,1
pentagram-rose,esoteric,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_o3VP6Ixa07y4cydYhFfGyXuL,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.982819,,1
pentagram-rose,exploration,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fYWPIkFAKKOheniAKtsSVGK3,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.611577,,1
pentagram-rose,fusion,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_o3VP6Ixa07y4cydYhFfGyXuL,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.982819,,1
pentagram-rose,geography,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fYWPIkFAKKOheniAKtsSVGK3,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.611577,,1
pentagram-rose,geometry,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_o3VP6Ixa07y4cydYhFfGyXuL,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.982819,,1
pentagram-rose,grid,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fYWPIkFAKKOheniAKtsSVGK3,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.611577,,1
pentagram-rose,harmony,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_o3VP6Ixa07y4cydYhFfGyXuL,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.982819,,1
pentagram-rose,hub,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fYWPIkFAKKOheniAKtsSVGK3,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.611577,,1
pentagram-rose,intersection,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_o3VP6Ixa07y4cydYhFfGyXuL,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.982819,,1
pentagram-rose,mapping,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fYWPIkFAKKOheniAKtsSVGK3,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.611577,,1
pentagram-rose,meditative,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_o3VP6Ixa07y4cydYhFfGyXuL,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.982819,,1
pentagram-rose,mystical,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_o3VP6Ixa07y4cydYhFfGyXuL,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.982819,,1
pentagram-rose,occult,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_o3VP6Ixa07y4cydYhFfGyXuL,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.982819,,1
pentagram-rose,pathfinding,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fYWPIkFAKKOheniAKtsSVGK3,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.611577,,1
