icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
pickle,music,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_M9I23j8cRQhEIN0OTArH9HZx,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.211732,,1
pickle,musical note,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_M9I23j8cRQhEIN0OTArH9HZx,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.211732,,1
pickle,treble clef,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_M9I23j8cRQhEIN0OTArH9HZx,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.211732,,1
pickle,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_M9I23j8cRQhEIN0OTArH9HZx,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.211732,,1
pickle,art,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_M9I23j8cRQhEIN0OTArH9HZx,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.211732,,1
pickle,artistic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_M9I23j8cRQhEIN0OTArH9HZx,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.211732,,1
pickle,composition,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_M9I23j8cRQhEIN0OTArH9HZx,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.211732,,1
pickle,creative,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_M9I23j8cRQhEIN0OTArH9HZx,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.211732,,1
pickle,expression,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_M9I23j8cRQhEIN0OTArH9HZx,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.211732,,1
pickle,harmony,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_M9I23j8cRQhEIN0OTArH9HZx,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.211732,,1
pickle,melody,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_M9I23j8cRQhEIN0OTArH9HZx,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.211732,,1
pickle,music theory,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_M9I23j8cRQhEIN0OTArH9HZx,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.211732,,1
pickle,musician,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_M9I23j8cRQhEIN0OTArH9HZx,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.211732,,1
pickle,notation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_M9I23j8cRQhEIN0OTArH9HZx,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.211732,,1
pickle,performance,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_M9I23j8cRQhEIN0OTArH9HZx,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.211732,,1
pickle,pitch,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_M9I23j8cRQhEIN0OTArH9HZx,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.211732,,1
pickle,rhythm,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_M9I23j8cRQhEIN0OTArH9HZx,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.211732,,1
pickle,scale,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_M9I23j8cRQhEIN0OTArH9HZx,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.211732,,1
pickle,score,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_M9I23j8cRQhEIN0OTArH9HZx,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.211732,,1
pickle,song,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_M9I23j8cRQhEIN0OTArH9HZx,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.211732,,1
pickle,sound,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_M9I23j8cRQhEIN0OTArH9HZx,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.211732,,1
pickle,symbolic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_M9I23j8cRQhEIN0OTArH9HZx,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.211732,,1
pickle,instrument,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_M9I23j8cRQhEIN0OTArH9HZx,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.211732,,1
pickle,orchestra,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_M9I23j8cRQhEIN0OTArH9HZx,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.211732,,1
pickle,tempo,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_M9I23j8cRQhEIN0OTArH9HZx,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.211732,,1
