icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
pill,capsule,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_O4AzVeA1e5xJtugQIXJ58F31,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.636073,,1
pill,healing,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_O4AzVeA1e5xJtugQIXJ58F31,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.636073,,1
pill,medication,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_O4AzVeA1e5xJtugQIXJ58F31,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.636073,,1
pill,medicine,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_O4AzVeA1e5xJtugQIXJ58F31,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.636073,,1
pill,pharmaceutical,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_O4AzVeA1e5xJtugQIXJ58F31,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.636073,,1
pill,pill,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_O4AzVeA1e5xJtugQIXJ58F31,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.636073,,1
pill,cure,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_O4AzVeA1e5xJtugQIXJ58F31,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.636073,,1
pill,disease,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_O4AzVeA1e5xJtugQIXJ58F31,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.636073,,1
pill,dosage,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_O4AzVeA1e5xJtugQIXJ58F31,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.636073,,1
pill,drug,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_O4AzVeA1e5xJtugQIXJ58F31,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.636073,,1
pill,health,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_O4AzVeA1e5xJtugQIXJ58F31,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.636073,,1
pill,healthcare,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_O4AzVeA1e5xJtugQIXJ58F31,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.636073,,1
pill,medical industry,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_O4AzVeA1e5xJtugQIXJ58F31,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.636073,,1
pill,over-the-counter,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_O4AzVeA1e5xJtugQIXJ58F31,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.636073,,1
pill,prescription,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_O4AzVeA1e5xJtugQIXJ58F31,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.636073,,1
pill,prevention,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_O4AzVeA1e5xJtugQIXJ58F31,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.636073,,1
pill,rounded shape,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_O4AzVeA1e5xJtugQIXJ58F31,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.636073,,1
pill,supplement,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_O4AzVeA1e5xJtugQIXJ58F31,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.636073,,1
pill,therapy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_O4AzVeA1e5xJtugQIXJ58F31,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.636073,,1
pill,treatment,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_O4AzVeA1e5xJtugQIXJ58F31,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.636073,,1
pill,biotech,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_O4AzVeA1e5xJtugQIXJ58F31,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.636073,,1
pill,chemistry,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_O4AzVeA1e5xJtugQIXJ58F31,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.636073,,1
pill,container,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_O4AzVeA1e5xJtugQIXJ58F31,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.636073,,1
pill,symmetry,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_O4AzVeA1e5xJtugQIXJ58F31,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.636073,,1
pill,temporality,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_O4AzVeA1e5xJtugQIXJ58F31,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.636073,,1
