icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
plain-arrow,arrow,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CB56pDG8TMFc0WlazyaZ4kjm,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.269260,,2
plain-arrow,descend,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CB56pDG8TMFc0WlazyaZ4kjm,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.269260,,1
plain-arrow,direction,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CB56pDG8TMFc0WlazyaZ4kjm,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.269260,,2
plain-arrow,downward,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CB56pDG8TMFc0WlazyaZ4kjm,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.269260,,2
plain-arrow,guidance,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7CCV8ZZNKLIeL3eN2zGFWcVi,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.514118,,1
plain-arrow,indicate,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CB56pDG8TMFc0WlazyaZ4kjm,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.269260,,1
plain-arrow,indicator,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CB56pDG8TMFc0WlazyaZ4kjm,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.269260,,2
plain-arrow,move,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CB56pDG8TMFc0WlazyaZ4kjm,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.269260,,1
plain-arrow,movement,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7CCV8ZZNKLIeL3eN2zGFWcVi,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.514118,,1
plain-arrow,symbol,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CB56pDG8TMFc0WlazyaZ4kjm,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.269260,,2
plain-arrow,decline,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CB56pDG8TMFc0WlazyaZ4kjm,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.269260,,1
plain-arrow,decrease,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CB56pDG8TMFc0WlazyaZ4kjm,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.269260,,1
plain-arrow,drop,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CB56pDG8TMFc0WlazyaZ4kjm,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.269260,,2
plain-arrow,drop-down,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CB56pDG8TMFc0WlazyaZ4kjm,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.269260,,1
plain-arrow,fall,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CB56pDG8TMFc0WlazyaZ4kjm,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.269260,,2
plain-arrow,flow,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CB56pDG8TMFc0WlazyaZ4kjm,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.269260,,2
plain-arrow,instruction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CB56pDG8TMFc0WlazyaZ4kjm,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.269260,,1
plain-arrow,linear,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CB56pDG8TMFc0WlazyaZ4kjm,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.269260,,1
plain-arrow,minimal,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CB56pDG8TMFc0WlazyaZ4kjm,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.269260,,1
plain-arrow,motion,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CB56pDG8TMFc0WlazyaZ4kjm,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.269260,,1
plain-arrow,navigation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CB56pDG8TMFc0WlazyaZ4kjm,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.269260,,2
plain-arrow,orientation,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7CCV8ZZNKLIeL3eN2zGFWcVi,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.514118,,1
plain-arrow,point,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CB56pDG8TMFc0WlazyaZ4kjm,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.269260,,2
plain-arrow,pointer,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CB56pDG8TMFc0WlazyaZ4kjm,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.269260,,2
plain-arrow,progress,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7CCV8ZZNKLIeL3eN2zGFWcVi,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.514118,,1
plain-arrow,pull,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7CCV8ZZNKLIeL3eN2zGFWcVi,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.514118,,1
plain-arrow,reduce,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CB56pDG8TMFc0WlazyaZ4kjm,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.269260,,1
plain-arrow,sharp,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CB56pDG8TMFc0WlazyaZ4kjm,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.269260,,1
plain-arrow,single,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CB56pDG8TMFc0WlazyaZ4kjm,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.269260,,1
plain-arrow,straight,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CB56pDG8TMFc0WlazyaZ4kjm,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.269260,,1
plain-arrow,submit,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7CCV8ZZNKLIeL3eN2zGFWcVi,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.514118,,1
plain-arrow,trajectory,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7CCV8ZZNKLIeL3eN2zGFWcVi,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.514118,,1
plain-arrow,transfer,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7CCV8ZZNKLIeL3eN2zGFWcVi,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.514118,,1
plain-arrow,align,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7CCV8ZZNKLIeL3eN2zGFWcVi,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.514118,,1
plain-arrow,command,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7CCV8ZZNKLIeL3eN2zGFWcVi,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.514118,,1
plain-arrow,end,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CB56pDG8TMFc0WlazyaZ4kjm,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.269260,,1
plain-arrow,gravity,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CB56pDG8TMFc0WlazyaZ4kjm,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.269260,,2
plain-arrow,lead,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7CCV8ZZNKLIeL3eN2zGFWcVi,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.514118,,1
plain-arrow,migrate,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7CCV8ZZNKLIeL3eN2zGFWcVi,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.514118,,1
plain-arrow,position,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7CCV8ZZNKLIeL3eN2zGFWcVi,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.514118,,1
plain-arrow,sign,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7CCV8ZZNKLIeL3eN2zGFWcVi,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.514118,,1
plain-arrow,signal,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7CCV8ZZNKLIeL3eN2zGFWcVi,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.514118,,1
plain-arrow,swoop,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CB56pDG8TMFc0WlazyaZ4kjm,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.269260,,1
plain-arrow,target,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7CCV8ZZNKLIeL3eN2zGFWcVi,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.514118,,1
