icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
plain-square,audio mute,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vPIZ9ca4dobexZs7ZDXBjdrw,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.277289,,1
plain-square,audio off,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vPIZ9ca4dobexZs7ZDXBjdrw,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.277289,,1
plain-square,geometric,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_NBP1FHk9dGwkUAJSPH8m7guH,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.544420,,1
plain-square,mute,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vPIZ9ca4dobexZs7ZDXBjdrw,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.277289,,1
plain-square,no sound,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vPIZ9ca4dobexZs7ZDXBjdrw,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.277289,,1
plain-square,shape,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_NBP1FHk9dGwkUAJSPH8m7guH,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.544420,,1
plain-square,silence,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vPIZ9ca4dobexZs7ZDXBjdrw,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.277289,,1
plain-square,silent mode,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vPIZ9ca4dobexZs7ZDXBjdrw,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.277289,,1
plain-square,sound off,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vPIZ9ca4dobexZs7ZDXBjdrw,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.277289,,1
plain-square,speaker off,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vPIZ9ca4dobexZs7ZDXBjdrw,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.277289,,1
plain-square,square,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_NBP1FHk9dGwkUAJSPH8m7guH,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.544420,,1
plain-square,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_NBP1FHk9dGwkUAJSPH8m7guH,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.544420,,1
plain-square,audio management,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vPIZ9ca4dobexZs7ZDXBjdrw,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.277289,,1
plain-square,audio settings,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vPIZ9ca4dobexZs7ZDXBjdrw,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.277289,,1
plain-square,audio toggle,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vPIZ9ca4dobexZs7ZDXBjdrw,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.277289,,1
plain-square,balance,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_NBP1FHk9dGwkUAJSPH8m7guH,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.544420,,1
plain-square,basic,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_NBP1FHk9dGwkUAJSPH8m7guH,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.544420,,1
plain-square,block,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_NBP1FHk9dGwkUAJSPH8m7guH,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.544420,,1
plain-square,consistency,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_NBP1FHk9dGwkUAJSPH8m7guH,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.544420,,1
plain-square,design,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_NBP1FHk9dGwkUAJSPH8m7guH,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.544420,,1
plain-square,equilibrium,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_NBP1FHk9dGwkUAJSPH8m7guH,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.544420,,1
plain-square,icon,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_NBP1FHk9dGwkUAJSPH8m7guH,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.544420,,1
plain-square,media control,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vPIZ9ca4dobexZs7ZDXBjdrw,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.277289,,1
plain-square,minimalism,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_NBP1FHk9dGwkUAJSPH8m7guH,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.544420,,1
plain-square,noise reduction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vPIZ9ca4dobexZs7ZDXBjdrw,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.277289,,1
plain-square,quiet,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vPIZ9ca4dobexZs7ZDXBjdrw,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.277289,,1
plain-square,simplicity,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_NBP1FHk9dGwkUAJSPH8m7guH,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.544420,,1
plain-square,sound barrier,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vPIZ9ca4dobexZs7ZDXBjdrw,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.277289,,1
plain-square,sound control,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vPIZ9ca4dobexZs7ZDXBjdrw,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.277289,,1
plain-square,stability,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_NBP1FHk9dGwkUAJSPH8m7guH,0,gpt-4o-2024-08-06,2024-08-18T22:29:09.544420,,1
