icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
punching-bag,action,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NXgibtrZNCGzqRB5l5A4gx4x,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.430245,,1
punching-bag,button,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NXgibtrZNCGzqRB5l5A4gx4x,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.430245,,1
punching-bag,hand,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NXgibtrZNCGzqRB5l5A4gx4x,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.430245,,1
punching-bag,interaction,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NXgibtrZNCGzqRB5l5A4gx4x,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.430245,,1
punching-bag,press,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NXgibtrZNCGzqRB5l5A4gx4x,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.430245,,1
punching-bag,push,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NXgibtrZNCGzqRB5l5A4gx4x,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.430245,,1
punching-bag,safety,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NXgibtrZNCGzqRB5l5A4gx4x,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.430245,,1
punching-bag,activation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NXgibtrZNCGzqRB5l5A4gx4x,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.430245,,1
punching-bag,alert,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NXgibtrZNCGzqRB5l5A4gx4x,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.430245,,1
punching-bag,control,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NXgibtrZNCGzqRB5l5A4gx4x,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.430245,,1
punching-bag,cylinder,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NXgibtrZNCGzqRB5l5A4gx4x,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.430245,,1
punching-bag,device,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NXgibtrZNCGzqRB5l5A4gx4x,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.430245,,1
punching-bag,emergency,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NXgibtrZNCGzqRB5l5A4gx4x,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.430245,,1
punching-bag,input,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NXgibtrZNCGzqRB5l5A4gx4x,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.430245,,1
punching-bag,interface,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NXgibtrZNCGzqRB5l5A4gx4x,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.430245,,1
punching-bag,manual,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NXgibtrZNCGzqRB5l5A4gx4x,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.430245,,1
punching-bag,mechanism,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NXgibtrZNCGzqRB5l5A4gx4x,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.430245,,1
punching-bag,notification,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NXgibtrZNCGzqRB5l5A4gx4x,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.430245,,1
punching-bag,operation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NXgibtrZNCGzqRB5l5A4gx4x,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.430245,,1
punching-bag,signal,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NXgibtrZNCGzqRB5l5A4gx4x,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.430245,,1
punching-bag,warning,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NXgibtrZNCGzqRB5l5A4gx4x,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.430245,,1
punching-bag,command,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NXgibtrZNCGzqRB5l5A4gx4x,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.430245,,1
punching-bag,force,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NXgibtrZNCGzqRB5l5A4gx4x,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.430245,,1
punching-bag,protection,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NXgibtrZNCGzqRB5l5A4gx4x,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.430245,,1
punching-bag,utility,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NXgibtrZNCGzqRB5l5A4gx4x,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.430245,,1
