icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
pyromaniac,desire for fire,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7BozRmjRvdBG0Mk8CzZhbWuP,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.281359,,1
pyromaniac,face,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hRHjJmeMaxBEVZruRGlxdWYZ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.720881,,1
pyromaniac,fire,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hRHjJmeMaxBEVZruRGlxdWYZ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.720881,,2
pyromaniac,flames,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hRHjJmeMaxBEVZruRGlxdWYZ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.720881,,2
pyromaniac,mask,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hRHjJmeMaxBEVZruRGlxdWYZ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.720881,,2
pyromaniac,mischievous,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7BozRmjRvdBG0Mk8CzZhbWuP,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.281359,,1
pyromaniac,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hRHjJmeMaxBEVZruRGlxdWYZ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.720881,,1
pyromaniac,arson,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7BozRmjRvdBG0Mk8CzZhbWuP,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.281359,,1
pyromaniac,burn,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7BozRmjRvdBG0Mk8CzZhbWuP,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.281359,,1
pyromaniac,chaos,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7BozRmjRvdBG0Mk8CzZhbWuP,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.281359,,1
pyromaniac,character,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hRHjJmeMaxBEVZruRGlxdWYZ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.720881,,1
pyromaniac,costume,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hRHjJmeMaxBEVZruRGlxdWYZ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.720881,,1
pyromaniac,creature,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hRHjJmeMaxBEVZruRGlxdWYZ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.720881,,1
pyromaniac,danger,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7BozRmjRvdBG0Mk8CzZhbWuP,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.281359,,1
pyromaniac,demon,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hRHjJmeMaxBEVZruRGlxdWYZ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.720881,,1
pyromaniac,design,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hRHjJmeMaxBEVZruRGlxdWYZ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.720881,,1
pyromaniac,destruction,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7BozRmjRvdBG0Mk8CzZhbWuP,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.281359,,1
pyromaniac,disguise,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hRHjJmeMaxBEVZruRGlxdWYZ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.720881,,1
pyromaniac,emblem,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hRHjJmeMaxBEVZruRGlxdWYZ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.720881,,1
pyromaniac,energy,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7BozRmjRvdBG0Mk8CzZhbWuP,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.281359,,1
pyromaniac,enigmatic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hRHjJmeMaxBEVZruRGlxdWYZ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.720881,,1
