icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
raise-zombie,fingers,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_a7RDcf8tYQc7HLSsTTsMDXMX,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.425429,,1
raise-zombie,hand,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_a7RDcf8tYQc7HLSsTTsMDXMX,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.425429,,2
raise-zombie,horror,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_rm0bYOrFL5k79Az3f49LigsD,0,gpt-4o-2024-08-06,2024-08-18T22:29:29.075140,,1
raise-zombie,palm,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_a7RDcf8tYQc7HLSsTTsMDXMX,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.425429,,1
raise-zombie,resurrection,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_rm0bYOrFL5k79Az3f49LigsD,0,gpt-4o-2024-08-06,2024-08-18T22:29:29.075140,,1
raise-zombie,revival,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_rm0bYOrFL5k79Az3f49LigsD,0,gpt-4o-2024-08-06,2024-08-18T22:29:29.075140,,1
raise-zombie,supernatural,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_rm0bYOrFL5k79Az3f49LigsD,0,gpt-4o-2024-08-06,2024-08-18T22:29:29.075140,,1
raise-zombie,symbolic,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_a7RDcf8tYQc7HLSsTTsMDXMX,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.425429,,2
raise-zombie,undead,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_rm0bYOrFL5k79Az3f49LigsD,0,gpt-4o-2024-08-06,2024-08-18T22:29:29.075140,,1
raise-zombie,zombie,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_rm0bYOrFL5k79Az3f49LigsD,0,gpt-4o-2024-08-06,2024-08-18T22:29:29.075140,,1
raise-zombie,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_a7RDcf8tYQc7HLSsTTsMDXMX,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.425429,,1
raise-zombie,action,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_a7RDcf8tYQc7HLSsTTsMDXMX,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.425429,,1
raise-zombie,afterlife,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_rm0bYOrFL5k79Az3f49LigsD,0,gpt-4o-2024-08-06,2024-08-18T22:29:29.075140,,1
raise-zombie,arm,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_rm0bYOrFL5k79Az3f49LigsD,0,gpt-4o-2024-08-06,2024-08-18T22:29:29.075140,,1
raise-zombie,cemetery,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_rm0bYOrFL5k79Az3f49LigsD,0,gpt-4o-2024-08-06,2024-08-18T22:29:29.075140,,1
raise-zombie,communication,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_a7RDcf8tYQc7HLSsTTsMDXMX,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.425429,,1
raise-zombie,control,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_a7RDcf8tYQc7HLSsTTsMDXMX,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.425429,,1
raise-zombie,creature,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_rm0bYOrFL5k79Az3f49LigsD,0,gpt-4o-2024-08-06,2024-08-18T22:29:29.075140,,1
raise-zombie,darkness,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_rm0bYOrFL5k79Az3f49LigsD,0,gpt-4o-2024-08-06,2024-08-18T22:29:29.075140,,1
raise-zombie,emergence,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_rm0bYOrFL5k79Az3f49LigsD,0,gpt-4o-2024-08-06,2024-08-18T22:29:29.075140,,1
raise-zombie,expression,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_a7RDcf8tYQc7HLSsTTsMDXMX,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.425429,,1
