icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
rake,backyard,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wYpbf9WVi3mpYyw4VnNbWJ0k,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.466810,,1
rake,gardening,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_rljoNPG1Ht8kedaXjnmouxkB,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.211887,,1
rake,gardening tool,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wYpbf9WVi3mpYyw4VnNbWJ0k,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.466810,,1
rake,handle,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wYpbf9WVi3mpYyw4VnNbWJ0k,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.466810,,2
rake,landscaping,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wYpbf9WVi3mpYyw4VnNbWJ0k,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.466810,,2
rake,lawn care,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_rljoNPG1Ht8kedaXjnmouxkB,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.211887,,1
rake,manual tool,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wYpbf9WVi3mpYyw4VnNbWJ0k,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.466810,,1
rake,rake,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wYpbf9WVi3mpYyw4VnNbWJ0k,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.466810,,2
rake,soil cultivation,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_rljoNPG1Ht8kedaXjnmouxkB,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.211887,,1
rake,tines,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_rljoNPG1Ht8kedaXjnmouxkB,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.211887,,1
rake,tool,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_rljoNPG1Ht8kedaXjnmouxkB,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.211887,,1
rake,yard work,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wYpbf9WVi3mpYyw4VnNbWJ0k,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.466810,,2
rake,agriculture,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wYpbf9WVi3mpYyw4VnNbWJ0k,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.466810,,2
rake,autumn,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wYpbf9WVi3mpYyw4VnNbWJ0k,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.466810,,1
rake,clean-up,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_rljoNPG1Ht8kedaXjnmouxkB,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.211887,,1
rake,cleaning,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wYpbf9WVi3mpYyw4VnNbWJ0k,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.466810,,1
rake,cultivate,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_rljoNPG1Ht8kedaXjnmouxkB,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.211887,,1
rake,cultivation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wYpbf9WVi3mpYyw4VnNbWJ0k,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.466810,,1
rake,debris,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wYpbf9WVi3mpYyw4VnNbWJ0k,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.466810,,1
rake,earth,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_rljoNPG1Ht8kedaXjnmouxkB,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.211887,,1
rake,equipment,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wYpbf9WVi3mpYyw4VnNbWJ0k,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.466810,,2
rake,farming,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wYpbf9WVi3mpYyw4VnNbWJ0k,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.466810,,2
rake,field,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_rljoNPG1Ht8kedaXjnmouxkB,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.211887,,1
rake,ground maintenance,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_rljoNPG1Ht8kedaXjnmouxkB,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.211887,,1
rake,home improvement,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_rljoNPG1Ht8kedaXjnmouxkB,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.211887,,1
rake,horticulture,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wYpbf9WVi3mpYyw4VnNbWJ0k,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.466810,,1
rake,leaves,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wYpbf9WVi3mpYyw4VnNbWJ0k,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.466810,,1
rake,maintenance,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wYpbf9WVi3mpYyw4VnNbWJ0k,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.466810,,1
rake,manual labor,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_rljoNPG1Ht8kedaXjnmouxkB,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.211887,,1
rake,outdoor,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wYpbf9WVi3mpYyw4VnNbWJ0k,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.466810,,1
rake,outdoors,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_rljoNPG1Ht8kedaXjnmouxkB,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.211887,,1
rake,planting,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_rljoNPG1Ht8kedaXjnmouxkB,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.211887,,1
rake,soil,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wYpbf9WVi3mpYyw4VnNbWJ0k,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.466810,,1
rake,spikes,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wYpbf9WVi3mpYyw4VnNbWJ0k,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.466810,,1
rake,teeth,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wYpbf9WVi3mpYyw4VnNbWJ0k,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.466810,,1
rake,tidy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wYpbf9WVi3mpYyw4VnNbWJ0k,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.466810,,1
rake,tidying,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_rljoNPG1Ht8kedaXjnmouxkB,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.211887,,1
rake,grooming,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wYpbf9WVi3mpYyw4VnNbWJ0k,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.466810,,2
rake,harvesting,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_rljoNPG1Ht8kedaXjnmouxkB,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.211887,,1
