icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
reactor,atomic,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_C5o1hBaGvxlRXmqpQKNjXhRy,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.057610,,1
reactor,contamination,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_C5o1hBaGvxlRXmqpQKNjXhRy,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.057610,,1
reactor,danger,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_C5o1hBaGvxlRXmqpQKNjXhRy,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.057610,,1
reactor,hazard,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_C5o1hBaGvxlRXmqpQKNjXhRy,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.057610,,1
reactor,nuclear,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_C5o1hBaGvxlRXmqpQKNjXhRy,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.057610,,1
reactor,radiation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_C5o1hBaGvxlRXmqpQKNjXhRy,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.057610,,1
reactor,radioactive,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_C5o1hBaGvxlRXmqpQKNjXhRy,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.057610,,1
reactor,toxic,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_C5o1hBaGvxlRXmqpQKNjXhRy,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.057610,,1
reactor,warning,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_C5o1hBaGvxlRXmqpQKNjXhRy,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.057610,,1
reactor,alert,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_C5o1hBaGvxlRXmqpQKNjXhRy,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.057610,,1
reactor,biochemical,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_C5o1hBaGvxlRXmqpQKNjXhRy,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.057610,,1
reactor,caution,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_C5o1hBaGvxlRXmqpQKNjXhRy,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.057610,,1
reactor,chemical,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_C5o1hBaGvxlRXmqpQKNjXhRy,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.057610,,1
reactor,circle,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_C5o1hBaGvxlRXmqpQKNjXhRy,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.057610,,1
reactor,energy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_C5o1hBaGvxlRXmqpQKNjXhRy,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.057610,,1
reactor,environment,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_C5o1hBaGvxlRXmqpQKNjXhRy,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.057610,,1
reactor,industrial,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_C5o1hBaGvxlRXmqpQKNjXhRy,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.057610,,1
reactor,prohibition,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_C5o1hBaGvxlRXmqpQKNjXhRy,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.057610,,1
reactor,protection,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_C5o1hBaGvxlRXmqpQKNjXhRy,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.057610,,1
reactor,reactor,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_C5o1hBaGvxlRXmqpQKNjXhRy,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.057610,,1
