icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
rear-aura,cross,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RP3Ph9GAfTJ2zvYx2dqX98xT,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.766573,,1
rear-aura,divine,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RP3Ph9GAfTJ2zvYx2dqX98xT,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.766573,,1
rear-aura,faith,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RP3Ph9GAfTJ2zvYx2dqX98xT,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.766573,,1
rear-aura,halo,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RP3Ph9GAfTJ2zvYx2dqX98xT,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.766573,,1
rear-aura,holy,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RP3Ph9GAfTJ2zvYx2dqX98xT,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.766573,,1
rear-aura,person,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RP3Ph9GAfTJ2zvYx2dqX98xT,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.766573,,1
rear-aura,religious,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RP3Ph9GAfTJ2zvYx2dqX98xT,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.766573,,1
rear-aura,saint,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RP3Ph9GAfTJ2zvYx2dqX98xT,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.766573,,1
rear-aura,spiritual,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RP3Ph9GAfTJ2zvYx2dqX98xT,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.766573,,1
rear-aura,aura,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RP3Ph9GAfTJ2zvYx2dqX98xT,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.766573,,1
rear-aura,contemplation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RP3Ph9GAfTJ2zvYx2dqX98xT,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.766573,,1
rear-aura,enlightened,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RP3Ph9GAfTJ2zvYx2dqX98xT,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.766573,,1
rear-aura,figure,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RP3Ph9GAfTJ2zvYx2dqX98xT,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.766573,,1
rear-aura,guidance,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RP3Ph9GAfTJ2zvYx2dqX98xT,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.766573,,1
rear-aura,iconic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RP3Ph9GAfTJ2zvYx2dqX98xT,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.766573,,1
rear-aura,illumination,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RP3Ph9GAfTJ2zvYx2dqX98xT,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.766573,,1
rear-aura,inspiration,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RP3Ph9GAfTJ2zvYx2dqX98xT,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.766573,,1
rear-aura,purity,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RP3Ph9GAfTJ2zvYx2dqX98xT,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.766573,,1
rear-aura,radiate,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RP3Ph9GAfTJ2zvYx2dqX98xT,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.766573,,1
rear-aura,revelation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RP3Ph9GAfTJ2zvYx2dqX98xT,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.766573,,1
rear-aura,sacred,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RP3Ph9GAfTJ2zvYx2dqX98xT,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.766573,,1
rear-aura,sanctity,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RP3Ph9GAfTJ2zvYx2dqX98xT,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.766573,,1
rear-aura,symbolic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RP3Ph9GAfTJ2zvYx2dqX98xT,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.766573,,1
rear-aura,wisdom,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RP3Ph9GAfTJ2zvYx2dqX98xT,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.766573,,1
rear-aura,figurehead,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RP3Ph9GAfTJ2zvYx2dqX98xT,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.766573,,1
rear-aura,peace,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RP3Ph9GAfTJ2zvYx2dqX98xT,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.766573,,1
rear-aura,protection,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RP3Ph9GAfTJ2zvYx2dqX98xT,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.766573,,1
