icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
resonance,circle,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LM6zCaHTtiTmY5gRRddKpaCg,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.775598,,1
resonance,dynamic,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LM6zCaHTtiTmY5gRRddKpaCg,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.776523,,2
resonance,frequency,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_MM9LVFE20H83fJcKpwudxpfg,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.413178,,1
resonance,harmony,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_MM9LVFE20H83fJcKpwudxpfg,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.413178,,1
resonance,motion,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LM6zCaHTtiTmY5gRRddKpaCg,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.776523,,2
resonance,oscillation,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_MM9LVFE20H83fJcKpwudxpfg,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.413178,,1
resonance,resonance,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_MM9LVFE20H83fJcKpwudxpfg,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.413178,,1
resonance,rotation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LM6zCaHTtiTmY5gRRddKpaCg,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.776523,,3
resonance,spiral,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LM6zCaHTtiTmY5gRRddKpaCg,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.776523,,2
resonance,swirl,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LM6zCaHTtiTmY5gRRddKpaCg,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.776523,,1
resonance,vibration,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_MM9LVFE20H83fJcKpwudxpfg,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.413178,,1
resonance,vortex,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LM6zCaHTtiTmY5gRRddKpaCg,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.776523,,1
