icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
river,flow,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_yLb9PfV4Khpx77ED55TOXGeF,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.418179,,1
river,landscape,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VFfj5hstMqVr3iPIZ9DBjkaq,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.523810,,2
river,mountains,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VFfj5hstMqVr3iPIZ9DBjkaq,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.523810,,1
river,nature,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VFfj5hstMqVr3iPIZ9DBjkaq,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.523810,,2
river,path,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VFfj5hstMqVr3iPIZ9DBjkaq,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.523810,,1
river,river,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VFfj5hstMqVr3iPIZ9DBjkaq,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.523810,,2
river,scenery,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VFfj5hstMqVr3iPIZ9DBjkaq,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.523810,,1
river,water,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_yLb9PfV4Khpx77ED55TOXGeF,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.418179,,1
river,abstract terrain,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VFfj5hstMqVr3iPIZ9DBjkaq,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.523810,,1
river,adventure,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VFfj5hstMqVr3iPIZ9DBjkaq,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.523810,,1
