icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
rocket-thruster,cyclone,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6sCruVSlQXbBzY9RcXDeKin2,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.541818,,1
rocket-thruster,energy,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6sCruVSlQXbBzY9RcXDeKin2,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.541818,,2
rocket-thruster,engine,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_AxXakRhNIJ3FfCXpCFEzlAGY,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.506107,,1
rocket-thruster,launch,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_AxXakRhNIJ3FfCXpCFEzlAGY,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.506107,,1
rocket-thruster,propulsion,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_AxXakRhNIJ3FfCXpCFEzlAGY,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.506107,,1
rocket-thruster,rocket,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_AxXakRhNIJ3FfCXpCFEzlAGY,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.506107,,1
rocket-thruster,space,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_AxXakRhNIJ3FfCXpCFEzlAGY,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.506107,,1
rocket-thruster,storm,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6sCruVSlQXbBzY9RcXDeKin2,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.541818,,1
rocket-thruster,thrust,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_AxXakRhNIJ3FfCXpCFEzlAGY,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.506107,,1
rocket-thruster,thruster,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_AxXakRhNIJ3FfCXpCFEzlAGY,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.506107,,1
rocket-thruster,turbulence,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6sCruVSlQXbBzY9RcXDeKin2,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.541818,,1
rocket-thruster,wave,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6sCruVSlQXbBzY9RcXDeKin2,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.541818,,1
rocket-thruster,wind,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6sCruVSlQXbBzY9RcXDeKin2,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.541818,,1
rocket-thruster,acceleration,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_AxXakRhNIJ3FfCXpCFEzlAGY,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.506107,,1
rocket-thruster,action,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6sCruVSlQXbBzY9RcXDeKin2,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.541818,,1
rocket-thruster,aerospace,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_AxXakRhNIJ3FfCXpCFEzlAGY,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.506107,,1
rocket-thruster,chaos,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6sCruVSlQXbBzY9RcXDeKin2,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.541818,,1
rocket-thruster,current,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6sCruVSlQXbBzY9RcXDeKin2,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.541818,,1
rocket-thruster,disaster,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6sCruVSlQXbBzY9RcXDeKin2,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.541818,,1
rocket-thruster,dynamic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6sCruVSlQXbBzY9RcXDeKin2,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.541818,,1
rocket-thruster,flame,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_AxXakRhNIJ3FfCXpCFEzlAGY,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.506107,,1
rocket-thruster,flow,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6sCruVSlQXbBzY9RcXDeKin2,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.541818,,1
rocket-thruster,force,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6sCruVSlQXbBzY9RcXDeKin2,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.541818,,2
rocket-thruster,forceful,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6sCruVSlQXbBzY9RcXDeKin2,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.541818,,1
rocket-thruster,motion,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6sCruVSlQXbBzY9RcXDeKin2,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.541818,,2
rocket-thruster,movement,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6sCruVSlQXbBzY9RcXDeKin2,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.541818,,2
rocket-thruster,nature,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6sCruVSlQXbBzY9RcXDeKin2,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.541818,,1
rocket-thruster,power,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_AxXakRhNIJ3FfCXpCFEzlAGY,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.506107,,1
rocket-thruster,sea,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6sCruVSlQXbBzY9RcXDeKin2,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.541818,,1
rocket-thruster,spiral,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6sCruVSlQXbBzY9RcXDeKin2,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.541818,,1
rocket-thruster,swirl,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6sCruVSlQXbBzY9RcXDeKin2,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.541818,,1
rocket-thruster,technology,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_AxXakRhNIJ3FfCXpCFEzlAGY,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.506107,,2
rocket-thruster,tornado,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6sCruVSlQXbBzY9RcXDeKin2,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.541818,,1
rocket-thruster,trajectory,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_AxXakRhNIJ3FfCXpCFEzlAGY,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.506107,,1
rocket-thruster,velocity,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_AxXakRhNIJ3FfCXpCFEzlAGY,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.506107,,1
rocket-thruster,weather,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6sCruVSlQXbBzY9RcXDeKin2,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.541818,,1
rocket-thruster,adventure,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_AxXakRhNIJ3FfCXpCFEzlAGY,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.506107,,1
rocket-thruster,development,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_AxXakRhNIJ3FfCXpCFEzlAGY,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.506107,,1
rocket-thruster,dynamics,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_AxXakRhNIJ3FfCXpCFEzlAGY,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.506107,,1
rocket-thruster,expansion,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_AxXakRhNIJ3FfCXpCFEzlAGY,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.506107,,1
rocket-thruster,exploration,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_AxXakRhNIJ3FfCXpCFEzlAGY,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.506107,,1
rocket-thruster,fluidity,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6sCruVSlQXbBzY9RcXDeKin2,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.541818,,1
rocket-thruster,future,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_AxXakRhNIJ3FfCXpCFEzlAGY,0,gpt-4o-2024-08-06,2024-08-18T22:29:10.506107,,1
