icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
rocket,exploration,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qLjhp3TenxUeTTtH1IAnVW78,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.810517,,2
rocket,progress,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qLjhp3TenxUeTTtH1IAnVW78,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.810517,,2
rocket,rocket,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qLjhp3TenxUeTTtH1IAnVW78,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.810517,,2
rocket,space,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qLjhp3TenxUeTTtH1IAnVW78,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.810517,,1
rocket,spacecraft,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zg05LtMzfKNzjtJAPbHSjlrK,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.544838,,1
rocket,speed,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qLjhp3TenxUeTTtH1IAnVW78,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.810517,,2
rocket,acceleration,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qLjhp3TenxUeTTtH1IAnVW78,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.810517,,1
rocket,achievement,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zg05LtMzfKNzjtJAPbHSjlrK,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.544838,,1
rocket,adventure,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qLjhp3TenxUeTTtH1IAnVW78,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.810517,,2
rocket,aerospace,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qLjhp3TenxUeTTtH1IAnVW78,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.810517,,2
rocket,ambition,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zg05LtMzfKNzjtJAPbHSjlrK,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.544838,,1
rocket,ascension,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zg05LtMzfKNzjtJAPbHSjlrK,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.544838,,1
rocket,blast,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qLjhp3TenxUeTTtH1IAnVW78,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.810517,,1
rocket,direction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qLjhp3TenxUeTTtH1IAnVW78,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.810517,,1
rocket,discovery,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qLjhp3TenxUeTTtH1IAnVW78,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.810517,,2
rocket,dynamics,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qLjhp3TenxUeTTtH1IAnVW78,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.810517,,1
rocket,energy,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zg05LtMzfKNzjtJAPbHSjlrK,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.544838,,1
rocket,flight,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zg05LtMzfKNzjtJAPbHSjlrK,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.544838,,1
rocket,future,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qLjhp3TenxUeTTtH1IAnVW78,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.810517,,2
rocket,innovation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qLjhp3TenxUeTTtH1IAnVW78,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.810517,,2
