icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
root-tip,abstract,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Q9B3I5tYuaMUhvuKrZgWM1sJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.820515,,1
root-tip,abstract art,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Q9B3I5tYuaMUhvuKrZgWM1sJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.820515,,1
root-tip,angular,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Q9B3I5tYuaMUhvuKrZgWM1sJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.820515,,1
root-tip,conceptual,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Q9B3I5tYuaMUhvuKrZgWM1sJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.820515,,1
root-tip,design,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Q9B3I5tYuaMUhvuKrZgWM1sJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.820515,,1
root-tip,geometric,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Q9B3I5tYuaMUhvuKrZgWM1sJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.820515,,1
root-tip,intricate,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Q9B3I5tYuaMUhvuKrZgWM1sJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.820515,,1
root-tip,modern,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Q9B3I5tYuaMUhvuKrZgWM1sJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.820515,,1
root-tip,patterns,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Q9B3I5tYuaMUhvuKrZgWM1sJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.820515,,1
root-tip,stylized,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Q9B3I5tYuaMUhvuKrZgWM1sJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.820515,,1
root-tip,symbolic,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Q9B3I5tYuaMUhvuKrZgWM1sJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.820515,,1
root-tip,artistic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Q9B3I5tYuaMUhvuKrZgWM1sJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.820515,,1
root-tip,curved lines,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Q9B3I5tYuaMUhvuKrZgWM1sJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.820515,,1
root-tip,dynamic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Q9B3I5tYuaMUhvuKrZgWM1sJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.820515,,1
root-tip,expression,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Q9B3I5tYuaMUhvuKrZgWM1sJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.820515,,1
root-tip,figure,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Q9B3I5tYuaMUhvuKrZgWM1sJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.820515,,1
root-tip,form,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Q9B3I5tYuaMUhvuKrZgWM1sJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.820515,,1
root-tip,interlocking,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Q9B3I5tYuaMUhvuKrZgWM1sJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.820515,,1
root-tip,interpretation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Q9B3I5tYuaMUhvuKrZgWM1sJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.820515,,1
root-tip,motion,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Q9B3I5tYuaMUhvuKrZgWM1sJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.820515,,1
root-tip,movement,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Q9B3I5tYuaMUhvuKrZgWM1sJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.820515,,1
root-tip,sharp edges,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Q9B3I5tYuaMUhvuKrZgWM1sJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.820515,,1
root-tip,symmetrical,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Q9B3I5tYuaMUhvuKrZgWM1sJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.820515,,1
root-tip,visual representation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Q9B3I5tYuaMUhvuKrZgWM1sJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.820515,,1
root-tip,bird,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Q9B3I5tYuaMUhvuKrZgWM1sJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.820515,,1
