icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
scuba-mask,astronaut,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIZZCRDy0aZOtozFnSUwmoBt,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.681895,,1
scuba-mask,cosmos,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIZZCRDy0aZOtozFnSUwmoBt,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.681895,,1
scuba-mask,exploration,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIZZCRDy0aZOtozFnSUwmoBt,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.681895,,1
scuba-mask,helmet,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIZZCRDy0aZOtozFnSUwmoBt,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.681895,,1
scuba-mask,mission,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIZZCRDy0aZOtozFnSUwmoBt,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.681895,,1
scuba-mask,space,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIZZCRDy0aZOtozFnSUwmoBt,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.681895,,1
scuba-mask,adventure,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIZZCRDy0aZOtozFnSUwmoBt,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.681895,,1
scuba-mask,aviation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIZZCRDy0aZOtozFnSUwmoBt,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.681895,,1
scuba-mask,discovery,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIZZCRDy0aZOtozFnSUwmoBt,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.681895,,1
scuba-mask,extraterrestrial,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIZZCRDy0aZOtozFnSUwmoBt,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.681895,,1
scuba-mask,floating,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIZZCRDy0aZOtozFnSUwmoBt,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.681895,,1
scuba-mask,frontier,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIZZCRDy0aZOtozFnSUwmoBt,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.681895,,1
scuba-mask,futuristic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIZZCRDy0aZOtozFnSUwmoBt,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.681895,,1
scuba-mask,goggles,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIZZCRDy0aZOtozFnSUwmoBt,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.681895,,1
scuba-mask,isolation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIZZCRDy0aZOtozFnSUwmoBt,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.681895,,1
scuba-mask,journey,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIZZCRDy0aZOtozFnSUwmoBt,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.681895,,1
scuba-mask,oxygen,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIZZCRDy0aZOtozFnSUwmoBt,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.681895,,1
scuba-mask,protection,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIZZCRDy0aZOtozFnSUwmoBt,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.681895,,1
scuba-mask,safety,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIZZCRDy0aZOtozFnSUwmoBt,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.681895,,1
scuba-mask,suit,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIZZCRDy0aZOtozFnSUwmoBt,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.681895,,1
scuba-mask,technology,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIZZCRDy0aZOtozFnSUwmoBt,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.681895,,1
scuba-mask,tether,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIZZCRDy0aZOtozFnSUwmoBt,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.681895,,1
scuba-mask,universe,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIZZCRDy0aZOtozFnSUwmoBt,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.681895,,1
scuba-mask,void,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIZZCRDy0aZOtozFnSUwmoBt,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.681895,,1
scuba-mask,gear,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIZZCRDy0aZOtozFnSUwmoBt,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.681895,,1
