icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
seated-mouse,animal,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KQr6aNzcEeJCIFaXyjBULM6C,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.915251,,2
seated-mouse,mouse,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KQr6aNzcEeJCIFaXyjBULM6C,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.915251,,2
seated-mouse,pose,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7DszfLm0jYDhppoJFrEYOIqr,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.864819,,1
seated-mouse,rodent,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KQr6aNzcEeJCIFaXyjBULM6C,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.915251,,2
seated-mouse,seated,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7DszfLm0jYDhppoJFrEYOIqr,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.864819,,1
seated-mouse,sitting,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7DszfLm0jYDhppoJFrEYOIqr,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.864819,,1
seated-mouse,tail,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KQr6aNzcEeJCIFaXyjBULM6C,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.915251,,2
seated-mouse,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7DszfLm0jYDhppoJFrEYOIqr,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.864819,,1
seated-mouse,balance,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7DszfLm0jYDhppoJFrEYOIqr,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.864819,,1
seated-mouse,biology,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KQr6aNzcEeJCIFaXyjBULM6C,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.915251,,1
