icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
seedling,growth,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QT3Gai6NEBm2VuWSpEEBB4Ia,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.703895,,2
seedling,plant,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QT3Gai6NEBm2VuWSpEEBB4Ia,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.703895,,2
seedling,potted plant,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QT3Gai6NEBm2VuWSpEEBB4Ia,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.703895,,1
seedling,seedling,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QT3Gai6NEBm2VuWSpEEBB4Ia,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.703895,,2
seedling,sprout,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_c5hZOrXEiPumrK4PfaN3IDx1,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.164787,,1
seedling,agriculture,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QT3Gai6NEBm2VuWSpEEBB4Ia,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.704894,,2
seedling,botany,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QT3Gai6NEBm2VuWSpEEBB4Ia,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.703895,,2
seedling,cultivation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QT3Gai6NEBm2VuWSpEEBB4Ia,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.704894,,2
seedling,eco-friendly,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QT3Gai6NEBm2VuWSpEEBB4Ia,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.704894,,2
seedling,ecology,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QT3Gai6NEBm2VuWSpEEBB4Ia,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.704894,,1
seedling,environment,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QT3Gai6NEBm2VuWSpEEBB4Ia,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.703895,,2
seedling,fertility,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_c5hZOrXEiPumrK4PfaN3IDx1,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.164787,,1
seedling,flora,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QT3Gai6NEBm2VuWSpEEBB4Ia,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.703895,,1
seedling,fresh,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QT3Gai6NEBm2VuWSpEEBB4Ia,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.704894,,1
seedling,garden,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QT3Gai6NEBm2VuWSpEEBB4Ia,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.703895,,2
seedling,horticulture,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QT3Gai6NEBm2VuWSpEEBB4Ia,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.703895,,2
seedling,leaves,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QT3Gai6NEBm2VuWSpEEBB4Ia,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.703895,,1
seedling,life,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QT3Gai6NEBm2VuWSpEEBB4Ia,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.704894,,2
seedling,natural,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QT3Gai6NEBm2VuWSpEEBB4Ia,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.704894,,1
seedling,nature,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QT3Gai6NEBm2VuWSpEEBB4Ia,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.703895,,2
seedling,nurture,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QT3Gai6NEBm2VuWSpEEBB4Ia,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.704894,,2
seedling,organic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QT3Gai6NEBm2VuWSpEEBB4Ia,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.704894,,2
seedling,outdoors,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QT3Gai6NEBm2VuWSpEEBB4Ia,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.704894,,1
seedling,renewal,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_c5hZOrXEiPumrK4PfaN3IDx1,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.164787,,1
seedling,sustainability,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QT3Gai6NEBm2VuWSpEEBB4Ia,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.704894,,2
seedling,biodiversity,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_c5hZOrXEiPumrK4PfaN3IDx1,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.164787,,1
seedling,biosphere,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_c5hZOrXEiPumrK4PfaN3IDx1,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.164787,,1
seedling,bloom,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QT3Gai6NEBm2VuWSpEEBB4Ia,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.704894,,1
seedling,decoration,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QT3Gai6NEBm2VuWSpEEBB4Ia,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.704894,,1
seedling,ecosystem,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_c5hZOrXEiPumrK4PfaN3IDx1,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.164787,,1
seedling,fertilization,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QT3Gai6NEBm2VuWSpEEBB4Ia,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.704894,,1
seedling,forest,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_c5hZOrXEiPumrK4PfaN3IDx1,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.164787,,1
seedling,greenhouse,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_c5hZOrXEiPumrK4PfaN3IDx1,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.164787,,1
seedling,home,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QT3Gai6NEBm2VuWSpEEBB4Ia,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.704894,,1
seedling,interior,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QT3Gai6NEBm2VuWSpEEBB4Ia,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.704894,,1
seedling,landscape,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_c5hZOrXEiPumrK4PfaN3IDx1,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.164787,,1
seedling,reforestation,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_c5hZOrXEiPumrK4PfaN3IDx1,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.164787,,1
seedling,spring,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QT3Gai6NEBm2VuWSpEEBB4Ia,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.704894,,1
