icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
serrated-slash,bird,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xtvDOD7KiROJ8N4VeuFdXoIH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.926188,,1
serrated-slash,blade,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_1hwh5gMZolF5pJU0hydNJMHD,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.927614,,1
serrated-slash,cut,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_1hwh5gMZolF5pJU0hydNJMHD,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.927614,,1
serrated-slash,edge,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_1hwh5gMZolF5pJU0hydNJMHD,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.927614,,1
serrated-slash,feather,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xtvDOD7KiROJ8N4VeuFdXoIH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.926188,,1
serrated-slash,flight,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xtvDOD7KiROJ8N4VeuFdXoIH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.926188,,1
serrated-slash,jagged,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_1hwh5gMZolF5pJU0hydNJMHD,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.928713,,1
serrated-slash,serrated,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_1hwh5gMZolF5pJU0hydNJMHD,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.927614,,1
serrated-slash,sharp,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_1hwh5gMZolF5pJU0hydNJMHD,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.927614,,1
serrated-slash,slash,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_1hwh5gMZolF5pJU0hydNJMHD,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.927614,,1
serrated-slash,weapon,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_1hwh5gMZolF5pJU0hydNJMHD,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.927614,,1
serrated-slash,wing,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xtvDOD7KiROJ8N4VeuFdXoIH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.926188,,1
serrated-slash,abstract form,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_1hwh5gMZolF5pJU0hydNJMHD,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.928713,,1
serrated-slash,aerodynamics,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xtvDOD7KiROJ8N4VeuFdXoIH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.926188,,1
serrated-slash,aggressive,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_1hwh5gMZolF5pJU0hydNJMHD,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.927614,,1
serrated-slash,angular,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_1hwh5gMZolF5pJU0hydNJMHD,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.928713,,1
serrated-slash,attack,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_1hwh5gMZolF5pJU0hydNJMHD,0,gpt-4o-2024-08-06,2024-08-18T22:29:23.928713,,1
serrated-slash,conceptual,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xtvDOD7KiROJ8N4VeuFdXoIH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.926188,,1
