icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
sharp-crown,crown,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4oq2K2v9k8hm6kZszAv8sOiu,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.941247,,1
sharp-crown,regal,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4oq2K2v9k8hm6kZszAv8sOiu,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.941247,,1
sharp-crown,royalty,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4oq2K2v9k8hm6kZszAv8sOiu,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.941247,,1
sharp-crown,symbolism,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4oq2K2v9k8hm6kZszAv8sOiu,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.941247,,1
sharp-crown,aristocracy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4oq2K2v9k8hm6kZszAv8sOiu,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.941247,,1
sharp-crown,authority,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4oq2K2v9k8hm6kZszAv8sOiu,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.941247,,1
sharp-crown,celebration,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4oq2K2v9k8hm6kZszAv8sOiu,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.941247,,1
sharp-crown,ceremony,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4oq2K2v9k8hm6kZszAv8sOiu,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.941247,,1
sharp-crown,decoration,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4oq2K2v9k8hm6kZszAv8sOiu,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.941247,,1
sharp-crown,elite,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4oq2K2v9k8hm6kZszAv8sOiu,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.941247,,1
sharp-crown,emblem,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4oq2K2v9k8hm6kZszAv8sOiu,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.941247,,1
sharp-crown,fashion,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4oq2K2v9k8hm6kZszAv8sOiu,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.941247,,1
sharp-crown,headpiece,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4oq2K2v9k8hm6kZszAv8sOiu,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.941247,,1
sharp-crown,iconic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4oq2K2v9k8hm6kZszAv8sOiu,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.941247,,1
sharp-crown,leadership,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4oq2K2v9k8hm6kZszAv8sOiu,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.941247,,1
sharp-crown,monarchy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4oq2K2v9k8hm6kZszAv8sOiu,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.941247,,1
