icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
sharp-halberd,archery,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IcPvaTpNJG1Nfonp1fUTfRmn,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.758418,,1
sharp-halberd,arrow,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IcPvaTpNJG1Nfonp1fUTfRmn,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.759417,,1
sharp-halberd,axe,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_1WkHUaviNqOoFzhGGozawlem,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.283703,,1
sharp-halberd,blade,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_1WkHUaviNqOoFzhGGozawlem,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.283703,,1
sharp-halberd,bow,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IcPvaTpNJG1Nfonp1fUTfRmn,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.759417,,1
sharp-halberd,halberd,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_1WkHUaviNqOoFzhGGozawlem,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.283703,,1
sharp-halberd,spear,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_1WkHUaviNqOoFzhGGozawlem,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.283703,,1
sharp-halberd,accuracy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IcPvaTpNJG1Nfonp1fUTfRmn,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.759417,,1
sharp-halberd,aim,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IcPvaTpNJG1Nfonp1fUTfRmn,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.759417,,1
sharp-halberd,attack,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_1WkHUaviNqOoFzhGGozawlem,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.283703,,1
sharp-halberd,battle,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_1WkHUaviNqOoFzhGGozawlem,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.283703,,1
sharp-halberd,combat,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_1WkHUaviNqOoFzhGGozawlem,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.283703,,1
sharp-halberd,cutting,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_1WkHUaviNqOoFzhGGozawlem,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.283703,,1
sharp-halberd,defense,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_1WkHUaviNqOoFzhGGozawlem,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.283703,,1
sharp-halberd,focus,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IcPvaTpNJG1Nfonp1fUTfRmn,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.759417,,1
sharp-halberd,hunting,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IcPvaTpNJG1Nfonp1fUTfRmn,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.759417,,1
sharp-halberd,medieval,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_1WkHUaviNqOoFzhGGozawlem,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.283703,,1
sharp-halberd,piercing,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_1WkHUaviNqOoFzhGGozawlem,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.283703,,1
sharp-halberd,precision,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IcPvaTpNJG1Nfonp1fUTfRmn,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.759417,,1
sharp-halberd,protection,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_1WkHUaviNqOoFzhGGozawlem,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.283703,,1
sharp-halberd,skill,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IcPvaTpNJG1Nfonp1fUTfRmn,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.759417,,1
sharp-halberd,sport,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IcPvaTpNJG1Nfonp1fUTfRmn,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.759417,,1
sharp-halberd,target,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IcPvaTpNJG1Nfonp1fUTfRmn,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.759417,,1
sharp-halberd,trajectory,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IcPvaTpNJG1Nfonp1fUTfRmn,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.759417,,1
sharp-halberd,war,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_1WkHUaviNqOoFzhGGozawlem,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.283703,,1
sharp-halberd,weapon,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IcPvaTpNJG1Nfonp1fUTfRmn,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.759417,,2
