icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
silver-bullet,bullet,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_q7FFC1KBjNfSuMgFveCH6br8,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.511896,,1
silver-bullet,effectiveness,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_q7FFC1KBjNfSuMgFveCH6br8,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.511896,,1
silver-bullet,magic,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4zLQpXnNp7oDBOcrXe5rIVaj,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.825414,,2
silver-bullet,mystical,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_q7FFC1KBjNfSuMgFveCH6br8,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.511896,,1
silver-bullet,projectile,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_q7FFC1KBjNfSuMgFveCH6br8,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.511896,,1
silver-bullet,solution,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_q7FFC1KBjNfSuMgFveCH6br8,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.511896,,1
silver-bullet,sparkle,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4zLQpXnNp7oDBOcrXe5rIVaj,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.825414,,1
silver-bullet,stars,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4zLQpXnNp7oDBOcrXe5rIVaj,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.825414,,2
silver-bullet,transformation,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_q7FFC1KBjNfSuMgFveCH6br8,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.511896,,1
silver-bullet,wand,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4zLQpXnNp7oDBOcrXe5rIVaj,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.825414,,1
silver-bullet,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_q7FFC1KBjNfSuMgFveCH6br8,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.511896,,1
silver-bullet,charm,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4zLQpXnNp7oDBOcrXe5rIVaj,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.825414,,1
silver-bullet,dynamic,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_q7FFC1KBjNfSuMgFveCH6br8,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.511896,,1
silver-bullet,enchantment,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4zLQpXnNp7oDBOcrXe5rIVaj,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.825414,,1
silver-bullet,fairy tale,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4zLQpXnNp7oDBOcrXe5rIVaj,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.825414,,1
silver-bullet,fantasy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4zLQpXnNp7oDBOcrXe5rIVaj,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.825414,,2
silver-bullet,hocus pocus,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4zLQpXnNp7oDBOcrXe5rIVaj,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.825414,,1
silver-bullet,illusion,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4zLQpXnNp7oDBOcrXe5rIVaj,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.825414,,2
silver-bullet,impact,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_q7FFC1KBjNfSuMgFveCH6br8,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.511896,,1
silver-bullet,metaphor,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_q7FFC1KBjNfSuMgFveCH6br8,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.511896,,1
silver-bullet,mystery,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4zLQpXnNp7oDBOcrXe5rIVaj,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.825414,,2
silver-bullet,myth,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_q7FFC1KBjNfSuMgFveCH6br8,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.511896,,1
silver-bullet,mythical,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4zLQpXnNp7oDBOcrXe5rIVaj,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.825414,,1
silver-bullet,potential,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_q7FFC1KBjNfSuMgFveCH6br8,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.511896,,1
silver-bullet,simplicity,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_q7FFC1KBjNfSuMgFveCH6br8,0,gpt-4o-2024-08-06,2024-08-18T22:29:11.511896,,1
silver-bullet,sorcery,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4zLQpXnNp7oDBOcrXe5rIVaj,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.825414,,1
silver-bullet,spell,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4zLQpXnNp7oDBOcrXe5rIVaj,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.825414,,1
