icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
skull-in-jar,death,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_U2doClRa8MueEu9V6bj2lqOr,0,gpt-4o-2024-08-06,2024-08-18T22:29:24.224607,,1
skull-in-jar,head,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_S2RWYqDKCAG2H0YGFDs2THhQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.022455,,1
skull-in-jar,horror,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_U2doClRa8MueEu9V6bj2lqOr,0,gpt-4o-2024-08-06,2024-08-18T22:29:24.224607,,1
skull-in-jar,human face,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_S2RWYqDKCAG2H0YGFDs2THhQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.022455,,1
skull-in-jar,jar,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_U2doClRa8MueEu9V6bj2lqOr,0,gpt-4o-2024-08-06,2024-08-18T22:29:24.224607,,1
skull-in-jar,macabre,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_U2doClRa8MueEu9V6bj2lqOr,0,gpt-4o-2024-08-06,2024-08-18T22:29:24.224607,,1
skull-in-jar,mortality,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_U2doClRa8MueEu9V6bj2lqOr,0,gpt-4o-2024-08-06,2024-08-18T22:29:24.224607,,1
skull-in-jar,person,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_S2RWYqDKCAG2H0YGFDs2THhQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.022455,,1
skull-in-jar,preservation,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_U2doClRa8MueEu9V6bj2lqOr,0,gpt-4o-2024-08-06,2024-08-18T22:29:24.224607,,1
skull-in-jar,profile,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_S2RWYqDKCAG2H0YGFDs2THhQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.022455,,1
skull-in-jar,side view,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_S2RWYqDKCAG2H0YGFDs2THhQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.022455,,1
skull-in-jar,skull,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_U2doClRa8MueEu9V6bj2lqOr,0,gpt-4o-2024-08-06,2024-08-18T22:29:24.224607,,1
skull-in-jar,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_S2RWYqDKCAG2H0YGFDs2THhQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.022455,,2
skull-in-jar,alchemy,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_U2doClRa8MueEu9V6bj2lqOr,0,gpt-4o-2024-08-06,2024-08-18T22:29:24.224607,,1
skull-in-jar,anatomy,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_U2doClRa8MueEu9V6bj2lqOr,0,gpt-4o-2024-08-06,2024-08-18T22:29:24.224607,,1
