icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
skull-staff,boxing glove,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9sXIXY0TOOvhdjfAsA8o0s27,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.852409,,1
skull-staff,combat,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9sXIXY0TOOvhdjfAsA8o0s27,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.852409,,1
skull-staff,fight,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9sXIXY0TOOvhdjfAsA8o0s27,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.852409,,1
skull-staff,fist,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9sXIXY0TOOvhdjfAsA8o0s27,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.852409,,1
skull-staff,impact,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9sXIXY0TOOvhdjfAsA8o0s27,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.852409,,1
skull-staff,punch,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9sXIXY0TOOvhdjfAsA8o0s27,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.852409,,1
skull-staff,action,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9sXIXY0TOOvhdjfAsA8o0s27,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.852409,,1
skull-staff,athletics,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9sXIXY0TOOvhdjfAsA8o0s27,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.852409,,1
skull-staff,circular motion,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9sXIXY0TOOvhdjfAsA8o0s27,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.852409,,1
skull-staff,competition,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9sXIXY0TOOvhdjfAsA8o0s27,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.852409,,1
skull-staff,defense,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9sXIXY0TOOvhdjfAsA8o0s27,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.852409,,1
skull-staff,duel,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9sXIXY0TOOvhdjfAsA8o0s27,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.852409,,1
skull-staff,energy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9sXIXY0TOOvhdjfAsA8o0s27,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.852409,,1
skull-staff,exercise,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9sXIXY0TOOvhdjfAsA8o0s27,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.852409,,1
skull-staff,force,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9sXIXY0TOOvhdjfAsA8o0s27,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.852409,,1
skull-staff,martial arts,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9sXIXY0TOOvhdjfAsA8o0s27,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.852409,,1
skull-staff,motion,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9sXIXY0TOOvhdjfAsA8o0s27,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.852409,,1
skull-staff,power,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9sXIXY0TOOvhdjfAsA8o0s27,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.852409,,1
skull-staff,protection,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9sXIXY0TOOvhdjfAsA8o0s27,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.852409,,1
skull-staff,sports,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9sXIXY0TOOvhdjfAsA8o0s27,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.852409,,1
skull-staff,strength,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9sXIXY0TOOvhdjfAsA8o0s27,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.852409,,1
skull-staff,symbol,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9sXIXY0TOOvhdjfAsA8o0s27,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.852409,,1
skull-staff,training,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9sXIXY0TOOvhdjfAsA8o0s27,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.852409,,1
