icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
slap,barrier,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wVybLeIIULZACOAbcLM1Pvwj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.033481,,1
slap,block,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wVybLeIIULZACOAbcLM1Pvwj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.033481,,1
slap,gesture,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wVybLeIIULZACOAbcLM1Pvwj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.033481,,1
slap,halt,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wVybLeIIULZACOAbcLM1Pvwj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.033481,,1
slap,hand,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wVybLeIIULZACOAbcLM1Pvwj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.033481,,1
slap,palm,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wVybLeIIULZACOAbcLM1Pvwj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.033481,,1
slap,prohibition,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wVybLeIIULZACOAbcLM1Pvwj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.033481,,1
slap,stop,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wVybLeIIULZACOAbcLM1Pvwj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.033481,,1
slap,symbol,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wVybLeIIULZACOAbcLM1Pvwj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.033481,,1
slap,alert,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wVybLeIIULZACOAbcLM1Pvwj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.033481,,1
slap,authority,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wVybLeIIULZACOAbcLM1Pvwj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.033481,,1
slap,boundary,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wVybLeIIULZACOAbcLM1Pvwj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.033481,,1
slap,caution,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wVybLeIIULZACOAbcLM1Pvwj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.033481,,1
slap,command,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wVybLeIIULZACOAbcLM1Pvwj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.033481,,1
slap,control,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wVybLeIIULZACOAbcLM1Pvwj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.033481,,1
slap,defense,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wVybLeIIULZACOAbcLM1Pvwj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.033481,,1
slap,deterrent,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wVybLeIIULZACOAbcLM1Pvwj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.033481,,1
slap,direction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wVybLeIIULZACOAbcLM1Pvwj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.033481,,1
slap,exclusion,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wVybLeIIULZACOAbcLM1Pvwj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.033481,,1
slap,non-entry,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wVybLeIIULZACOAbcLM1Pvwj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.033481,,1
slap,prevention,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wVybLeIIULZACOAbcLM1Pvwj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.033481,,1
slap,protection,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wVybLeIIULZACOAbcLM1Pvwj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.033481,,1
slap,regulation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wVybLeIIULZACOAbcLM1Pvwj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.033481,,1
slap,restriction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wVybLeIIULZACOAbcLM1Pvwj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.033481,,1
slap,safety,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wVybLeIIULZACOAbcLM1Pvwj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.033481,,1
slap,signal,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wVybLeIIULZACOAbcLM1Pvwj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.033481,,1
slap,warning,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wVybLeIIULZACOAbcLM1Pvwj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.033481,,1
