icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
slime,dripping,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_i7w2C8FNLEfKcqURcVYKgP5r,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.866714,,1
slime,figure,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_i7w2C8FNLEfKcqURcVYKgP5r,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.866771,,1
slime,ghost,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_i7w2C8FNLEfKcqURcVYKgP5r,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.866194,,1
slime,halloween,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_i7w2C8FNLEfKcqURcVYKgP5r,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.866714,,1
slime,spooky,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_i7w2C8FNLEfKcqURcVYKgP5r,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.866714,,1
slime,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_i7w2C8FNLEfKcqURcVYKgP5r,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.866771,,1
slime,cartoonish,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_i7w2C8FNLEfKcqURcVYKgP5r,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.866714,,1
slime,character,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_i7w2C8FNLEfKcqURcVYKgP5r,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.866771,,1
slime,drizzle,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_i7w2C8FNLEfKcqURcVYKgP5r,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.866771,,1
slime,expressive,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_i7w2C8FNLEfKcqURcVYKgP5r,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.866771,,1
slime,flowing,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_i7w2C8FNLEfKcqURcVYKgP5r,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.866714,,1
slime,remnant,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_i7w2C8FNLEfKcqURcVYKgP5r,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.866714,,1
slime,sentiment,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_i7w2C8FNLEfKcqURcVYKgP5r,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.866714,,1
slime,shadow,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_i7w2C8FNLEfKcqURcVYKgP5r,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.866771,,1
slime,ethereal,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_i7w2C8FNLEfKcqURcVYKgP5r,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.866771,,1
slime,haunted,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_i7w2C8FNLEfKcqURcVYKgP5r,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.866771,,1
slime,morphing,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_i7w2C8FNLEfKcqURcVYKgP5r,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.866771,,1
slime,phantom,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_i7w2C8FNLEfKcqURcVYKgP5r,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.866714,,1
slime,specter,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_i7w2C8FNLEfKcqURcVYKgP5r,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.866714,,1
slime,spirit,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_i7w2C8FNLEfKcqURcVYKgP5r,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.866714,,1
