icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
snake,letter S,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TEvPy4HsFQIGUhNWJDf7qjFj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.063154,,1
snake,snake,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TEvPy4HsFQIGUhNWJDf7qjFj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.063154,,1
snake,symbol,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TEvPy4HsFQIGUhNWJDf7qjFj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.063154,,1
snake,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TEvPy4HsFQIGUhNWJDf7qjFj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.063154,,1
snake,curved line,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TEvPy4HsFQIGUhNWJDf7qjFj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.063154,,1
snake,flow,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TEvPy4HsFQIGUhNWJDf7qjFj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.063154,,1
snake,minimalist,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TEvPy4HsFQIGUhNWJDf7qjFj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.063154,,1
snake,movement,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TEvPy4HsFQIGUhNWJDf7qjFj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.063154,,1
snake,reptile,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TEvPy4HsFQIGUhNWJDf7qjFj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.063154,,1
snake,serpent,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TEvPy4HsFQIGUhNWJDf7qjFj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.063154,,1
snake,shape,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TEvPy4HsFQIGUhNWJDf7qjFj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.063154,,1
snake,sleek,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TEvPy4HsFQIGUhNWJDf7qjFj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.063154,,1
snake,smooth,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TEvPy4HsFQIGUhNWJDf7qjFj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.063154,,1
snake,stylized,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TEvPy4HsFQIGUhNWJDf7qjFj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.063154,,1
snake,twist,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TEvPy4HsFQIGUhNWJDf7qjFj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.063154,,1
snake,branding,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TEvPy4HsFQIGUhNWJDf7qjFj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.063154,,1
snake,danger,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TEvPy4HsFQIGUhNWJDf7qjFj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.063154,,1
snake,interpretation,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TEvPy4HsFQIGUhNWJDf7qjFj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.063154,,1
snake,mythology,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TEvPy4HsFQIGUhNWJDf7qjFj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.063154,,1
snake,nature,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TEvPy4HsFQIGUhNWJDf7qjFj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.063154,,1
snake,scales,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TEvPy4HsFQIGUhNWJDf7qjFj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.063154,,1
snake,slick,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_TEvPy4HsFQIGUhNWJDf7qjFj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.063154,,1
