icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
snorkel,breathing apparatus,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hBy67IsM8eSMErxGKop3aWE8,0,gpt-4o-2024-08-06,2024-08-18T22:29:28.099129,,1
snorkel,diving,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hBy67IsM8eSMErxGKop3aWE8,0,gpt-4o-2024-08-06,2024-08-18T22:29:28.099129,,1
snorkel,equipment,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8MN4ZQKWrAFfE1dISXDcIY0Y,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.077129,,2
snorkel,fishing,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8MN4ZQKWrAFfE1dISXDcIY0Y,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.077129,,1
snorkel,hook,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8MN4ZQKWrAFfE1dISXDcIY0Y,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.077129,,1
snorkel,j-shape,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8MN4ZQKWrAFfE1dISXDcIY0Y,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.077129,,1
snorkel,snorkel,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hBy67IsM8eSMErxGKop3aWE8,0,gpt-4o-2024-08-06,2024-08-18T22:29:28.099129,,1
snorkel,snorkeling,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hBy67IsM8eSMErxGKop3aWE8,0,gpt-4o-2024-08-06,2024-08-18T22:29:28.099129,,1
snorkel,tool,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8MN4ZQKWrAFfE1dISXDcIY0Y,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.077129,,1
snorkel,underwater,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hBy67IsM8eSMErxGKop3aWE8,0,gpt-4o-2024-08-06,2024-08-18T22:29:28.099129,,1
snorkel,water sports,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hBy67IsM8eSMErxGKop3aWE8,0,gpt-4o-2024-08-06,2024-08-18T22:29:28.099129,,1
snorkel,angler,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8MN4ZQKWrAFfE1dISXDcIY0Y,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.077129,,1
