icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
space-needle,architecture,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Mu25hocd5a2SoC2SnrQsp2ha,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.940218,,1
space-needle,landmark,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Mu25hocd5a2SoC2SnrQsp2ha,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.940218,,1
space-needle,monument,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Mu25hocd5a2SoC2SnrQsp2ha,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.940218,,1
space-needle,observation deck,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Mu25hocd5a2SoC2SnrQsp2ha,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.940218,,1
space-needle,structure,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Mu25hocd5a2SoC2SnrQsp2ha,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.940218,,1
space-needle,tower,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Mu25hocd5a2SoC2SnrQsp2ha,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.940218,,1
space-needle,aerial,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Mu25hocd5a2SoC2SnrQsp2ha,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.941237,,1
space-needle,cityscape,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Mu25hocd5a2SoC2SnrQsp2ha,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.940218,,1
space-needle,design,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Mu25hocd5a2SoC2SnrQsp2ha,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.940218,,1
space-needle,engineering,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Mu25hocd5a2SoC2SnrQsp2ha,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.940218,,1
space-needle,geometric,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Mu25hocd5a2SoC2SnrQsp2ha,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.941237,,1
space-needle,height,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Mu25hocd5a2SoC2SnrQsp2ha,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.940218,,1
space-needle,iconic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Mu25hocd5a2SoC2SnrQsp2ha,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.940218,,1
space-needle,metropolitan,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Mu25hocd5a2SoC2SnrQsp2ha,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.941237,,1
space-needle,minimalist,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Mu25hocd5a2SoC2SnrQsp2ha,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.941237,,1
space-needle,modern,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Mu25hocd5a2SoC2SnrQsp2ha,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.941237,,1
space-needle,perspective,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Mu25hocd5a2SoC2SnrQsp2ha,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.941237,,1
space-needle,skyline,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Mu25hocd5a2SoC2SnrQsp2ha,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.940218,,1
space-needle,spire,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Mu25hocd5a2SoC2SnrQsp2ha,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.941237,,1
space-needle,symbolic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Mu25hocd5a2SoC2SnrQsp2ha,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.941237,,1
space-needle,tourism,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Mu25hocd5a2SoC2SnrQsp2ha,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.941237,,1
space-needle,urban,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Mu25hocd5a2SoC2SnrQsp2ha,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.941237,,1
space-needle,vertical,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Mu25hocd5a2SoC2SnrQsp2ha,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.940218,,1
space-needle,futuristic,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Mu25hocd5a2SoC2SnrQsp2ha,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.941237,,1
space-needle,recognizable,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Mu25hocd5a2SoC2SnrQsp2ha,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.941237,,1
