icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
spider-face,arachnid,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MbYgLXi8vydk8VuOV0mdqDvK,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.204768,,1
spider-face,eight-legged,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MbYgLXi8vydk8VuOV0mdqDvK,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.204768,,1
spider-face,eyes,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MbYgLXi8vydk8VuOV0mdqDvK,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.204768,,1
spider-face,insect,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MbYgLXi8vydk8VuOV0mdqDvK,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.204768,,1
spider-face,predator,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MbYgLXi8vydk8VuOV0mdqDvK,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.204768,,1
spider-face,spider,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MbYgLXi8vydk8VuOV0mdqDvK,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.204768,,1
spider-face,animal,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MbYgLXi8vydk8VuOV0mdqDvK,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.204768,,1
spider-face,bug,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MbYgLXi8vydk8VuOV0mdqDvK,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.204768,,1
spider-face,bugs,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MbYgLXi8vydk8VuOV0mdqDvK,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.204768,,1
spider-face,crawl,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MbYgLXi8vydk8VuOV0mdqDvK,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.204768,,1
spider-face,creature,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MbYgLXi8vydk8VuOV0mdqDvK,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.204768,,1
spider-face,creepy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MbYgLXi8vydk8VuOV0mdqDvK,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.204768,,1
spider-face,creepy-crawly,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MbYgLXi8vydk8VuOV0mdqDvK,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.204768,,1
spider-face,fear,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MbYgLXi8vydk8VuOV0mdqDvK,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.204768,,1
spider-face,legs,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MbYgLXi8vydk8VuOV0mdqDvK,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.204768,,1
spider-face,nature,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MbYgLXi8vydk8VuOV0mdqDvK,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.204768,,1
spider-face,symbol,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MbYgLXi8vydk8VuOV0mdqDvK,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.204768,,1
spider-face,web,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MbYgLXi8vydk8VuOV0mdqDvK,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.204768,,1
spider-face,web weaver,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MbYgLXi8vydk8VuOV0mdqDvK,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.204768,,1
spider-face,abstract,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MbYgLXi8vydk8VuOV0mdqDvK,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.204768,,1
spider-face,nightmare,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MbYgLXi8vydk8VuOV0mdqDvK,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.204768,,1
spider-face,silhouette,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MbYgLXi8vydk8VuOV0mdqDvK,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.204768,,1
spider-face,tiny,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MbYgLXi8vydk8VuOV0mdqDvK,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.204768,,1
