icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
spiked-ball,arrows,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7UHSpEZqwtsjSsk1H4b1uvIr,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.466394,,1
spiked-ball,circular,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7UHSpEZqwtsjSsk1H4b1uvIr,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.467396,,1
spiked-ball,direction,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7UHSpEZqwtsjSsk1H4b1uvIr,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.466394,,1
spiked-ball,interaction,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7UHSpEZqwtsjSsk1H4b1uvIr,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.467396,,1
spiked-ball,movement,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7UHSpEZqwtsjSsk1H4b1uvIr,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.466394,,1
spiked-ball,navigation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7UHSpEZqwtsjSsk1H4b1uvIr,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.466394,,1
spiked-ball,process,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7UHSpEZqwtsjSsk1H4b1uvIr,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.466394,,1
spiked-ball,rotation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7UHSpEZqwtsjSsk1H4b1uvIr,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.466394,,1
spiked-ball,transformation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7UHSpEZqwtsjSsk1H4b1uvIr,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.467396,,1
spiked-ball,balance,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7UHSpEZqwtsjSsk1H4b1uvIr,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.467396,,1
spiked-ball,cycle,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7UHSpEZqwtsjSsk1H4b1uvIr,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.466394,,1
spiked-ball,dynamics,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7UHSpEZqwtsjSsk1H4b1uvIr,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.466394,,1
spiked-ball,equilibrium,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7UHSpEZqwtsjSsk1H4b1uvIr,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.467396,,1
spiked-ball,exchange,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7UHSpEZqwtsjSsk1H4b1uvIr,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.467396,,1
spiked-ball,flow,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7UHSpEZqwtsjSsk1H4b1uvIr,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.467396,,1
spiked-ball,function,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7UHSpEZqwtsjSsk1H4b1uvIr,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.467396,,1
spiked-ball,journey,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7UHSpEZqwtsjSsk1H4b1uvIr,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.467396,,1
