icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
spiked-mace,battle,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NHAyDeQIN0026mGfvKvDLw7B,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.134160,,1
spiked-mace,spiked club,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NHAyDeQIN0026mGfvKvDLw7B,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.134160,,1
spiked-mace,spikes,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NHAyDeQIN0026mGfvKvDLw7B,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.134160,,1
spiked-mace,weapon,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NHAyDeQIN0026mGfvKvDLw7B,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.134160,,1
spiked-mace,weapon design,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NHAyDeQIN0026mGfvKvDLw7B,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.134160,,1
spiked-mace,weaponry,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NHAyDeQIN0026mGfvKvDLw7B,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.134160,,1
spiked-mace,aggression,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NHAyDeQIN0026mGfvKvDLw7B,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.134160,,1
spiked-mace,combat,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NHAyDeQIN0026mGfvKvDLw7B,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.134160,,1
spiked-mace,conflict,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NHAyDeQIN0026mGfvKvDLw7B,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.134160,,1
spiked-mace,danger,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NHAyDeQIN0026mGfvKvDLw7B,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.134160,,1
spiked-mace,defense,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NHAyDeQIN0026mGfvKvDLw7B,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.134160,,1
spiked-mace,force,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NHAyDeQIN0026mGfvKvDLw7B,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.134160,,1
spiked-mace,historical,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NHAyDeQIN0026mGfvKvDLw7B,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.134160,,1
spiked-mace,intimidation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NHAyDeQIN0026mGfvKvDLw7B,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.134160,,1
spiked-mace,martial arts,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NHAyDeQIN0026mGfvKvDLw7B,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.134160,,1
spiked-mace,medieval,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NHAyDeQIN0026mGfvKvDLw7B,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.134160,,1
spiked-mace,power,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NHAyDeQIN0026mGfvKvDLw7B,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.134160,,1
spiked-mace,protection,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NHAyDeQIN0026mGfvKvDLw7B,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.134160,,1
spiked-mace,security,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NHAyDeQIN0026mGfvKvDLw7B,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.134160,,1
spiked-mace,strength,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NHAyDeQIN0026mGfvKvDLw7B,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.134160,,1
spiked-mace,strikes,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NHAyDeQIN0026mGfvKvDLw7B,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.134160,,1
spiked-mace,tactical,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NHAyDeQIN0026mGfvKvDLw7B,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.134160,,1
spiked-mace,warrior,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NHAyDeQIN0026mGfvKvDLw7B,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.134160,,1
spiked-mace,assertiveness,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NHAyDeQIN0026mGfvKvDLw7B,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.134160,,1
spiked-mace,symbolic,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NHAyDeQIN0026mGfvKvDLw7B,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.134160,,1
spiked-mace,tool,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NHAyDeQIN0026mGfvKvDLw7B,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.134160,,1
