icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
spikes-init,central,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_RtBPUFN1rKr6X6sZqiGsM88F,0,gpt-4o-2024-08-06,2024-08-18T22:29:28.124887,,1
spikes-init,compass,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JePpn4ESiharIFPHWxaifshp,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.092023,,1
spikes-init,convergence,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_RtBPUFN1rKr6X6sZqiGsM88F,0,gpt-4o-2024-08-06,2024-08-18T22:29:28.124887,,1
spikes-init,direction,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JePpn4ESiharIFPHWxaifshp,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.092023,,2
spikes-init,guide,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JePpn4ESiharIFPHWxaifshp,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.092023,,1
spikes-init,initiation,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_RtBPUFN1rKr6X6sZqiGsM88F,0,gpt-4o-2024-08-06,2024-08-18T22:29:28.124887,,1
spikes-init,navigation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JePpn4ESiharIFPHWxaifshp,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.092023,,1
spikes-init,pointed,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_RtBPUFN1rKr6X6sZqiGsM88F,0,gpt-4o-2024-08-06,2024-08-18T22:29:28.124887,,1
spikes-init,sharp,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_RtBPUFN1rKr6X6sZqiGsM88F,0,gpt-4o-2024-08-06,2024-08-18T22:29:28.124887,,1
spikes-init,spikes,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_RtBPUFN1rKr6X6sZqiGsM88F,0,gpt-4o-2024-08-06,2024-08-18T22:29:28.124887,,1
spikes-init,star,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JePpn4ESiharIFPHWxaifshp,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.092023,,2
