icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
spiky-explosion,blast,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VGNNWPkqjJDakXSIrgLSTEjH,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.148514,,2
spiky-explosion,blast wave,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VGNNWPkqjJDakXSIrgLSTEjH,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.148514,,1
spiky-explosion,burst,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VGNNWPkqjJDakXSIrgLSTEjH,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.148514,,2
spiky-explosion,detonation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VGNNWPkqjJDakXSIrgLSTEjH,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.148514,,1
spiky-explosion,energy,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VGNNWPkqjJDakXSIrgLSTEjH,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.148514,,2
spiky-explosion,explosion,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VGNNWPkqjJDakXSIrgLSTEjH,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.148514,,2
spiky-explosion,impact,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VGNNWPkqjJDakXSIrgLSTEjH,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.148514,,2
spiky-explosion,spiky,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_RbSHXHI6tiawjWba7vvROEKx,0,gpt-4o-2024-08-06,2024-08-18T22:29:24.822849,,1
spiky-explosion,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_RbSHXHI6tiawjWba7vvROEKx,0,gpt-4o-2024-08-06,2024-08-18T22:29:24.822849,,1
spiky-explosion,chaos,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VGNNWPkqjJDakXSIrgLSTEjH,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.148514,,2
spiky-explosion,chaotic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VGNNWPkqjJDakXSIrgLSTEjH,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.148514,,1
spiky-explosion,danger,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VGNNWPkqjJDakXSIrgLSTEjH,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.148514,,2
spiky-explosion,disperse,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VGNNWPkqjJDakXSIrgLSTEjH,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.148514,,1
spiky-explosion,dynamic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VGNNWPkqjJDakXSIrgLSTEjH,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.148514,,2
spiky-explosion,emission,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VGNNWPkqjJDakXSIrgLSTEjH,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.148514,,1
spiky-explosion,erupt,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VGNNWPkqjJDakXSIrgLSTEjH,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.148514,,1
spiky-explosion,force,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VGNNWPkqjJDakXSIrgLSTEjH,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.148514,,2
spiky-explosion,fragmentation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VGNNWPkqjJDakXSIrgLSTEjH,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.148514,,1
spiky-explosion,intensity,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VGNNWPkqjJDakXSIrgLSTEjH,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.148514,,2
spiky-explosion,radiant,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VGNNWPkqjJDakXSIrgLSTEjH,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.148514,,1
spiky-explosion,radiate,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_RbSHXHI6tiawjWba7vvROEKx,0,gpt-4o-2024-08-06,2024-08-18T22:29:24.822849,,1
spiky-explosion,sharp,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_RbSHXHI6tiawjWba7vvROEKx,0,gpt-4o-2024-08-06,2024-08-18T22:29:24.822849,,1
spiky-explosion,shock,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VGNNWPkqjJDakXSIrgLSTEjH,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.148514,,1
spiky-explosion,spike,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VGNNWPkqjJDakXSIrgLSTEjH,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.148514,,1
spiky-explosion,star,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VGNNWPkqjJDakXSIrgLSTEjH,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.148514,,1
spiky-explosion,starburst,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_RbSHXHI6tiawjWba7vvROEKx,0,gpt-4o-2024-08-06,2024-08-18T22:29:24.822849,,1
spiky-explosion,unstable,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VGNNWPkqjJDakXSIrgLSTEjH,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.148514,,1
spiky-explosion,volatility,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VGNNWPkqjJDakXSIrgLSTEjH,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.148514,,1
spiky-explosion,collision,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_RbSHXHI6tiawjWba7vvROEKx,0,gpt-4o-2024-08-06,2024-08-18T22:29:24.822849,,1
spiky-explosion,conflict,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_RbSHXHI6tiawjWba7vvROEKx,0,gpt-4o-2024-08-06,2024-08-18T22:29:24.822849,,1
spiky-explosion,disturbance,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_RbSHXHI6tiawjWba7vvROEKx,0,gpt-4o-2024-08-06,2024-08-18T22:29:24.822849,,1
spiky-explosion,emergency,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VGNNWPkqjJDakXSIrgLSTEjH,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.148514,,1
spiky-explosion,eruption,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_RbSHXHI6tiawjWba7vvROEKx,0,gpt-4o-2024-08-06,2024-08-18T22:29:24.822849,,1
spiky-explosion,fear,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VGNNWPkqjJDakXSIrgLSTEjH,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.148514,,1
spiky-explosion,hazard,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_RbSHXHI6tiawjWba7vvROEKx,0,gpt-4o-2024-08-06,2024-08-18T22:29:24.822849,,1
spiky-explosion,jagged,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_RbSHXHI6tiawjWba7vvROEKx,0,gpt-4o-2024-08-06,2024-08-18T22:29:24.822849,,1
spiky-explosion,movement,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_RbSHXHI6tiawjWba7vvROEKx,0,gpt-4o-2024-08-06,2024-08-18T22:29:24.822849,,1
spiky-explosion,shatter,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_RbSHXHI6tiawjWba7vvROEKx,0,gpt-4o-2024-08-06,2024-08-18T22:29:24.822849,,1
