icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
spotted-arrowhead,abstract,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_0EZl4Umpso75FOX6p8proUeK,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.070059,,1
spotted-arrowhead,abstract art,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_0EZl4Umpso75FOX6p8proUeK,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.070059,,1
spotted-arrowhead,arrowhead,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_0EZl4Umpso75FOX6p8proUeK,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.070059,,1
spotted-arrowhead,blade,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_kMmUuJJoaKigVP2fu1kXratu,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.201382,,2
spotted-arrowhead,cutting,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_kMmUuJJoaKigVP2fu1kXratu,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.201382,,1
spotted-arrowhead,direction,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_0EZl4Umpso75FOX6p8proUeK,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.070059,,1
spotted-arrowhead,navigation,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_0EZl4Umpso75FOX6p8proUeK,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.070059,,1
spotted-arrowhead,point,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_0EZl4Umpso75FOX6p8proUeK,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.070059,,1
spotted-arrowhead,saw,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_kMmUuJJoaKigVP2fu1kXratu,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.201382,,1
spotted-arrowhead,symbol,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_0EZl4Umpso75FOX6p8proUeK,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.070059,,1
spotted-arrowhead,symbolism,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_0EZl4Umpso75FOX6p8proUeK,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.070059,,1
spotted-arrowhead,tool,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_kMmUuJJoaKigVP2fu1kXratu,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.201382,,1
spotted-arrowhead,DIY,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_kMmUuJJoaKigVP2fu1kXratu,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.201382,,1
spotted-arrowhead,art,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_0EZl4Umpso75FOX6p8proUeK,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.070059,,1
spotted-arrowhead,chevron,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_0EZl4Umpso75FOX6p8proUeK,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.070059,,1
spotted-arrowhead,complexity,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_0EZl4Umpso75FOX6p8proUeK,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.070059,,1
spotted-arrowhead,construction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_kMmUuJJoaKigVP2fu1kXratu,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.201382,,1
spotted-arrowhead,crafting,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_kMmUuJJoaKigVP2fu1kXratu,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.201382,,1
spotted-arrowhead,decorative,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_0EZl4Umpso75FOX6p8proUeK,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.070059,,1
spotted-arrowhead,design,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_0EZl4Umpso75FOX6p8proUeK,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.070059,,1
spotted-arrowhead,emblem,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_0EZl4Umpso75FOX6p8proUeK,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.070059,,1
spotted-arrowhead,equipment,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_kMmUuJJoaKigVP2fu1kXratu,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.201382,,1
