icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
stomp,action,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_4P5IU76sXhvbo8FKUlpzEDpG,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.413025,,1
stomp,catastrophe,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4rm0n1dg49Wwkbakycems0Si,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.279107,,1
stomp,collision,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4rm0n1dg49Wwkbakycems0Si,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.279107,,1
stomp,crush,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_4P5IU76sXhvbo8FKUlpzEDpG,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.413025,,1
stomp,damage,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4rm0n1dg49Wwkbakycems0Si,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.279107,,1
stomp,destruction,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4rm0n1dg49Wwkbakycems0Si,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.279107,,1
stomp,explosion,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4rm0n1dg49Wwkbakycems0Si,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.279107,,1
stomp,foot,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_4P5IU76sXhvbo8FKUlpzEDpG,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.413025,,1
stomp,impact,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4rm0n1dg49Wwkbakycems0Si,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.279107,,2
stomp,pressure,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_4P5IU76sXhvbo8FKUlpzEDpG,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.413025,,1
stomp,smash,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4rm0n1dg49Wwkbakycems0Si,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.279107,,1
stomp,stomp,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_4P5IU76sXhvbo8FKUlpzEDpG,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.413025,,1
stomp,break,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4rm0n1dg49Wwkbakycems0Si,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.279107,,2
stomp,burst,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4rm0n1dg49Wwkbakycems0Si,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.279107,,1
stomp,collapse,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_4P5IU76sXhvbo8FKUlpzEDpG,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.413025,,1
stomp,crack,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4rm0n1dg49Wwkbakycems0Si,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.279107,,1
stomp,danger,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4rm0n1dg49Wwkbakycems0Si,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.279107,,1
stomp,destroy,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_4P5IU76sXhvbo8FKUlpzEDpG,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.413025,,1
stomp,disruption,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_4P5IU76sXhvbo8FKUlpzEDpG,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.413025,,1
stomp,dynamic,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_4P5IU76sXhvbo8FKUlpzEDpG,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.413025,,1
stomp,energy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4rm0n1dg49Wwkbakycems0Si,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.279107,,2
stomp,force,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4rm0n1dg49Wwkbakycems0Si,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.279107,,2
stomp,fracture,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_4rm0n1dg49Wwkbakycems0Si,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.279107,,1
stomp,heavy,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_4P5IU76sXhvbo8FKUlpzEDpG,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.413025,,1
stomp,movement,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_4P5IU76sXhvbo8FKUlpzEDpG,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.413025,,1
