icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
striking-arrows,action,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8tk8O8XAY9GTlAHV3wJ4Jn1f,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.486331,,1
striking-arrows,aiming,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8tk8O8XAY9GTlAHV3wJ4Jn1f,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.486331,,1
striking-arrows,arrows,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_L0sFbaciXB7PMhN4NyKIBbZJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.308114,,2
striking-arrows,direction,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_L0sFbaciXB7PMhN4NyKIBbZJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.308114,,2
striking-arrows,force,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8tk8O8XAY9GTlAHV3wJ4Jn1f,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.486331,,1
striking-arrows,impact,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8tk8O8XAY9GTlAHV3wJ4Jn1f,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.486331,,1
striking-arrows,motion,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8tk8O8XAY9GTlAHV3wJ4Jn1f,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.486331,,1
striking-arrows,movement,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_L0sFbaciXB7PMhN4NyKIBbZJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.308114,,2
striking-arrows,multiple directions,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_L0sFbaciXB7PMhN4NyKIBbZJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.308114,,1
striking-arrows,pointer,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_L0sFbaciXB7PMhN4NyKIBbZJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.308114,,1
striking-arrows,precision,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8tk8O8XAY9GTlAHV3wJ4Jn1f,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.486331,,1
striking-arrows,sharpness,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8tk8O8XAY9GTlAHV3wJ4Jn1f,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.486331,,1
striking-arrows,speed,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8tk8O8XAY9GTlAHV3wJ4Jn1f,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.486331,,1
striking-arrows,aggression,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8tk8O8XAY9GTlAHV3wJ4Jn1f,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.486331,,1
striking-arrows,aim,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_L0sFbaciXB7PMhN4NyKIBbZJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.308114,,1
striking-arrows,choices,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_L0sFbaciXB7PMhN4NyKIBbZJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.308114,,1
striking-arrows,conflict,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8tk8O8XAY9GTlAHV3wJ4Jn1f,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.486331,,1
striking-arrows,convergence,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_L0sFbaciXB7PMhN4NyKIBbZJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.308114,,1
striking-arrows,divergence,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_L0sFbaciXB7PMhN4NyKIBbZJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.308114,,1
striking-arrows,dynamic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_L0sFbaciXB7PMhN4NyKIBbZJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.308114,,1
striking-arrows,dynamics,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8tk8O8XAY9GTlAHV3wJ4Jn1f,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.486331,,1
striking-arrows,energy,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8tk8O8XAY9GTlAHV3wJ4Jn1f,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.486331,,1
striking-arrows,flow,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_L0sFbaciXB7PMhN4NyKIBbZJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.308114,,1
striking-arrows,guidance,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_L0sFbaciXB7PMhN4NyKIBbZJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.308114,,2
striking-arrows,intent,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8tk8O8XAY9GTlAHV3wJ4Jn1f,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.486331,,1
striking-arrows,intention,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8tk8O8XAY9GTlAHV3wJ4Jn1f,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.486331,,1
striking-arrows,intersection,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_L0sFbaciXB7PMhN4NyKIBbZJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.308114,,1
striking-arrows,navigation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_L0sFbaciXB7PMhN4NyKIBbZJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.308114,,1
