icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
strong,bodybuilding,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XNgFossbfyLNEcj09kI9qyuw,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.319108,,1
strong,exercise,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XNgFossbfyLNEcj09kI9qyuw,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.319108,,1
strong,fitness,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XNgFossbfyLNEcj09kI9qyuw,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.319108,,1
strong,muscle,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XNgFossbfyLNEcj09kI9qyuw,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.319108,,1
strong,pose,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XNgFossbfyLNEcj09kI9qyuw,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.319108,,1
strong,power,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XNgFossbfyLNEcj09kI9qyuw,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.319108,,1
strong,strength,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XNgFossbfyLNEcj09kI9qyuw,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.319108,,1
strong,achievement,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XNgFossbfyLNEcj09kI9qyuw,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.319108,,1
strong,athlete,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XNgFossbfyLNEcj09kI9qyuw,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.319108,,1
strong,body,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XNgFossbfyLNEcj09kI9qyuw,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.319108,,1
strong,confidence,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XNgFossbfyLNEcj09kI9qyuw,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.319108,,1
strong,effort,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XNgFossbfyLNEcj09kI9qyuw,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.319108,,1
strong,endurance,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XNgFossbfyLNEcj09kI9qyuw,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.319108,,1
strong,energy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XNgFossbfyLNEcj09kI9qyuw,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.319108,,1
strong,gesture,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XNgFossbfyLNEcj09kI9qyuw,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.319108,,1
strong,human figure,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XNgFossbfyLNEcj09kI9qyuw,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.319108,,1
strong,icon,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XNgFossbfyLNEcj09kI9qyuw,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.319108,,1
strong,success,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XNgFossbfyLNEcj09kI9qyuw,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.319108,,1
strong,symbol,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XNgFossbfyLNEcj09kI9qyuw,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.319108,,1
strong,triumph,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XNgFossbfyLNEcj09kI9qyuw,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.319108,,1
strong,victorious,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XNgFossbfyLNEcj09kI9qyuw,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.319108,,1
strong,victory,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XNgFossbfyLNEcj09kI9qyuw,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.319108,,1
strong,winning,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XNgFossbfyLNEcj09kI9qyuw,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.319108,,1
strong,celebration,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XNgFossbfyLNEcj09kI9qyuw,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.319108,,1
strong,humanity,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XNgFossbfyLNEcj09kI9qyuw,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.319108,,1
