icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
summits,achievement,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zXCAY68rvQZcN69s8oNEYHC9,0,gpt-4o-2024-08-06,2024-08-18T22:29:12.511041,,1
summits,climb,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XzH9Dlb9e5WTbtJk2B7G7LPY,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.119135,,2
summits,elevation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XzH9Dlb9e5WTbtJk2B7G7LPY,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.119135,,2
summits,goal,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zXCAY68rvQZcN69s8oNEYHC9,0,gpt-4o-2024-08-06,2024-08-18T22:29:12.511041,,1
summits,landscape,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XzH9Dlb9e5WTbtJk2B7G7LPY,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.119135,,2
summits,mountain,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XzH9Dlb9e5WTbtJk2B7G7LPY,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.119135,,2
summits,peak,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XzH9Dlb9e5WTbtJk2B7G7LPY,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.119135,,2
summits,pinnacle,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XzH9Dlb9e5WTbtJk2B7G7LPY,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.119135,,1
summits,summit,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XzH9Dlb9e5WTbtJk2B7G7LPY,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.119135,,2
summits,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XzH9Dlb9e5WTbtJk2B7G7LPY,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.119135,,1
summits,adventure,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XzH9Dlb9e5WTbtJk2B7G7LPY,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.119135,,3
summits,altitude,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zXCAY68rvQZcN69s8oNEYHC9,0,gpt-4o-2024-08-06,2024-08-18T22:29:12.511041,,1
summits,ambition,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zXCAY68rvQZcN69s8oNEYHC9,0,gpt-4o-2024-08-06,2024-08-18T22:29:12.511041,,1
summits,ascend,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XzH9Dlb9e5WTbtJk2B7G7LPY,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.119135,,1
summits,aspiration,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zXCAY68rvQZcN69s8oNEYHC9,0,gpt-4o-2024-08-06,2024-08-18T22:29:12.511041,,1
summits,challenge,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XzH9Dlb9e5WTbtJk2B7G7LPY,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.119135,,2
