icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
swirled-shell,abstract,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Cw5n5lSRiMCuLtXbzHoqKkn1,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.487402,,2
swirled-shell,circle,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_5xYVakHoA4gDti0BMSLmo9cE,0,gpt-4o-2024-08-06,2024-08-18T22:29:29.287182,,1
swirled-shell,fragmented,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Cw5n5lSRiMCuLtXbzHoqKkn1,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.487402,,1
swirled-shell,geometric,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Cw5n5lSRiMCuLtXbzHoqKkn1,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.487402,,1
swirled-shell,nautilus,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_5xYVakHoA4gDti0BMSLmo9cE,0,gpt-4o-2024-08-06,2024-08-18T22:29:29.287182,,1
swirled-shell,polygon,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Cw5n5lSRiMCuLtXbzHoqKkn1,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.487402,,1
swirled-shell,shapes,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Cw5n5lSRiMCuLtXbzHoqKkn1,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.487402,,1
swirled-shell,shell,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_5xYVakHoA4gDti0BMSLmo9cE,0,gpt-4o-2024-08-06,2024-08-18T22:29:29.287182,,1
swirled-shell,spiral,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_5xYVakHoA4gDti0BMSLmo9cE,0,gpt-4o-2024-08-06,2024-08-18T22:29:29.287182,,1
swirled-shell,swirl,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_5xYVakHoA4gDti0BMSLmo9cE,0,gpt-4o-2024-08-06,2024-08-18T22:29:29.287182,,1
swirled-shell,arrangement,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Cw5n5lSRiMCuLtXbzHoqKkn1,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.487402,,1
swirled-shell,art,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Cw5n5lSRiMCuLtXbzHoqKkn1,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.487402,,1
swirled-shell,asymmetry,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Cw5n5lSRiMCuLtXbzHoqKkn1,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.487402,,1
swirled-shell,breakage,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Cw5n5lSRiMCuLtXbzHoqKkn1,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.487402,,1
swirled-shell,cluster,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Cw5n5lSRiMCuLtXbzHoqKkn1,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.487402,,1
swirled-shell,coiling,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_5xYVakHoA4gDti0BMSLmo9cE,0,gpt-4o-2024-08-06,2024-08-18T22:29:29.287182,,1
swirled-shell,conch,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_5xYVakHoA4gDti0BMSLmo9cE,0,gpt-4o-2024-08-06,2024-08-18T22:29:29.287182,,1
swirled-shell,design,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Cw5n5lSRiMCuLtXbzHoqKkn1,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.487402,,1
swirled-shell,evolution,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_5xYVakHoA4gDti0BMSLmo9cE,0,gpt-4o-2024-08-06,2024-08-18T22:29:29.287182,,1
swirled-shell,expansion,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_5xYVakHoA4gDti0BMSLmo9cE,0,gpt-4o-2024-08-06,2024-08-18T22:29:29.287182,,1
swirled-shell,geometry,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_5xYVakHoA4gDti0BMSLmo9cE,0,gpt-4o-2024-08-06,2024-08-18T22:29:29.287182,,1
swirled-shell,growth,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_5xYVakHoA4gDti0BMSLmo9cE,0,gpt-4o-2024-08-06,2024-08-18T22:29:29.287182,,1
swirled-shell,illustration,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Cw5n5lSRiMCuLtXbzHoqKkn1,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.487402,,1
swirled-shell,nature,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_5xYVakHoA4gDti0BMSLmo9cE,0,gpt-4o-2024-08-06,2024-08-18T22:29:29.287182,,1
swirled-shell,pattern,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Cw5n5lSRiMCuLtXbzHoqKkn1,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.487402,,2
swirled-shell,pieces,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Cw5n5lSRiMCuLtXbzHoqKkn1,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.487402,,1
swirled-shell,sequence,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_5xYVakHoA4gDti0BMSLmo9cE,0,gpt-4o-2024-08-06,2024-08-18T22:29:29.287182,,1
swirled-shell,starburst,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Cw5n5lSRiMCuLtXbzHoqKkn1,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.487402,,1
swirled-shell,structure,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Cw5n5lSRiMCuLtXbzHoqKkn1,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.487402,,1
swirled-shell,succession,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_5xYVakHoA4gDti0BMSLmo9cE,0,gpt-4o-2024-08-06,2024-08-18T22:29:29.287182,,1
swirled-shell,symmetry,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Cw5n5lSRiMCuLtXbzHoqKkn1,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.487402,,2
swirled-shell,visualization,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Cw5n5lSRiMCuLtXbzHoqKkn1,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.487402,,1
swirled-shell,vortex,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_5xYVakHoA4gDti0BMSLmo9cE,0,gpt-4o-2024-08-06,2024-08-18T22:29:29.287182,,1
swirled-shell,whorl,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_5xYVakHoA4gDti0BMSLmo9cE,0,gpt-4o-2024-08-06,2024-08-18T22:29:29.287182,,1
swirled-shell,chaos,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Cw5n5lSRiMCuLtXbzHoqKkn1,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.487402,,1
swirled-shell,continuity,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_5xYVakHoA4gDti0BMSLmo9cE,0,gpt-4o-2024-08-06,2024-08-18T22:29:29.287182,,1
swirled-shell,disorder,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Cw5n5lSRiMCuLtXbzHoqKkn1,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.487402,,1
swirled-shell,iconic,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Cw5n5lSRiMCuLtXbzHoqKkn1,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.487402,,1
swirled-shell,kaleidoscope,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_5xYVakHoA4gDti0BMSLmo9cE,0,gpt-4o-2024-08-06,2024-08-18T22:29:29.287182,,1
swirled-shell,modern,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Cw5n5lSRiMCuLtXbzHoqKkn1,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.487402,,1
swirled-shell,mosaic,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Cw5n5lSRiMCuLtXbzHoqKkn1,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.487402,,1
swirled-shell,order,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_5xYVakHoA4gDti0BMSLmo9cE,0,gpt-4o-2024-08-06,2024-08-18T22:29:29.287182,,1
swirled-shell,style,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Cw5n5lSRiMCuLtXbzHoqKkn1,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.487402,,1
