icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
sword-brandish,agreement,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_zsXpVgr8LYxAca6FgHO7x2bV,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.169658,,1
sword-brandish,business,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_zsXpVgr8LYxAca6FgHO7x2bV,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.169658,,1
sword-brandish,collaboration,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_zsXpVgr8LYxAca6FgHO7x2bV,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.169658,,1
sword-brandish,deal,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_zsXpVgr8LYxAca6FgHO7x2bV,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.169658,,1
sword-brandish,dealing,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_zsXpVgr8LYxAca6FgHO7x2bV,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.169658,,1
sword-brandish,handshake,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_zsXpVgr8LYxAca6FgHO7x2bV,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.169658,,1
sword-brandish,partnership,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_zsXpVgr8LYxAca6FgHO7x2bV,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.169658,,1
sword-brandish,trade,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_zsXpVgr8LYxAca6FgHO7x2bV,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.169658,,1
sword-brandish,transaction,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_zsXpVgr8LYxAca6FgHO7x2bV,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.169658,,1
sword-brandish,commitment,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_zsXpVgr8LYxAca6FgHO7x2bV,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.169658,,1
sword-brandish,consensus,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_zsXpVgr8LYxAca6FgHO7x2bV,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.169658,,1
sword-brandish,contract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_zsXpVgr8LYxAca6FgHO7x2bV,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.169658,,1
sword-brandish,cooperation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_zsXpVgr8LYxAca6FgHO7x2bV,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.169658,,1
sword-brandish,formal,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_zsXpVgr8LYxAca6FgHO7x2bV,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.169658,,1
sword-brandish,gesture,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_zsXpVgr8LYxAca6FgHO7x2bV,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.169658,,1
