icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
sword-smithing,anvil,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QOtohuqrovfX489qvgMB3gqj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.384840,,2
sword-smithing,blade,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QOtohuqrovfX489qvgMB3gqj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.384840,,2
sword-smithing,crafting,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_bxjEHunRkFhlaUZ16QuIqnh0,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.754483,,1
sword-smithing,forge,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_bxjEHunRkFhlaUZ16QuIqnh0,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.754483,,1
sword-smithing,forging,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QOtohuqrovfX489qvgMB3gqj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.384840,,1
sword-smithing,smithing,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_bxjEHunRkFhlaUZ16QuIqnh0,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.754483,,1
sword-smithing,sword,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QOtohuqrovfX489qvgMB3gqj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.384840,,2
sword-smithing,armory,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QOtohuqrovfX489qvgMB3gqj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.384840,,1
sword-smithing,artisan,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QOtohuqrovfX489qvgMB3gqj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.384840,,2
sword-smithing,blacksmith,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QOtohuqrovfX489qvgMB3gqj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.384840,,2
sword-smithing,craft,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QOtohuqrovfX489qvgMB3gqj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.384840,,1
sword-smithing,craftsmanship,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QOtohuqrovfX489qvgMB3gqj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.384840,,2
sword-smithing,creation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QOtohuqrovfX489qvgMB3gqj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.384840,,2
sword-smithing,hammer,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_bxjEHunRkFhlaUZ16QuIqnh0,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.754483,,1
sword-smithing,industrial,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_bxjEHunRkFhlaUZ16QuIqnh0,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.754483,,1
sword-smithing,medieval,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QOtohuqrovfX489qvgMB3gqj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.384840,,2
sword-smithing,metal,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QOtohuqrovfX489qvgMB3gqj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.384840,,1
sword-smithing,metalwork,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QOtohuqrovfX489qvgMB3gqj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.384840,,2
sword-smithing,steel,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QOtohuqrovfX489qvgMB3gqj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.384840,,1
sword-smithing,tool,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QOtohuqrovfX489qvgMB3gqj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.384840,,2
sword-smithing,weapon,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QOtohuqrovfX489qvgMB3gqj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.384840,,1
sword-smithing,weaponry,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QOtohuqrovfX489qvgMB3gqj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.384840,,2
sword-smithing,workshop,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QOtohuqrovfX489qvgMB3gqj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.384840,,2
sword-smithing,art,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_bxjEHunRkFhlaUZ16QuIqnh0,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.754483,,1
sword-smithing,construction,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QOtohuqrovfX489qvgMB3gqj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.384840,,2
sword-smithing,design,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_bxjEHunRkFhlaUZ16QuIqnh0,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.754483,,1
sword-smithing,durability,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_bxjEHunRkFhlaUZ16QuIqnh0,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.754483,,1
sword-smithing,harden,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QOtohuqrovfX489qvgMB3gqj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.384840,,1
sword-smithing,history,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_bxjEHunRkFhlaUZ16QuIqnh0,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.754483,,1
sword-smithing,iconic,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_bxjEHunRkFhlaUZ16QuIqnh0,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.754483,,1
sword-smithing,industry,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QOtohuqrovfX489qvgMB3gqj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.384840,,1
sword-smithing,manufacturing,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QOtohuqrovfX489qvgMB3gqj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.384840,,1
sword-smithing,power,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QOtohuqrovfX489qvgMB3gqj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.384840,,1
sword-smithing,strength,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QOtohuqrovfX489qvgMB3gqj,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.384840,,2
sword-smithing,tradition,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_bxjEHunRkFhlaUZ16QuIqnh0,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.754483,,1
