icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
sword-spade,crossed weapons,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_egFi3Y8hlWlfiGLEcot0v71p,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.759525,,1
sword-spade,healthcare,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sYSbycg7rUZS1FCqTPdbwuJA,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.388986,,1
sword-spade,medicine,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sYSbycg7rUZS1FCqTPdbwuJA,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.388986,,1
sword-spade,pencil,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sYSbycg7rUZS1FCqTPdbwuJA,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.388986,,1
sword-spade,science,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sYSbycg7rUZS1FCqTPdbwuJA,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.388986,,1
sword-spade,spade,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_egFi3Y8hlWlfiGLEcot0v71p,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.759525,,1
sword-spade,sword,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_egFi3Y8hlWlfiGLEcot0v71p,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.759525,,1
sword-spade,symbolic,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_egFi3Y8hlWlfiGLEcot0v71p,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.759525,,1
sword-spade,syringe,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sYSbycg7rUZS1FCqTPdbwuJA,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.387966,,1
sword-spade,writing,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sYSbycg7rUZS1FCqTPdbwuJA,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.388986,,1
sword-spade,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sYSbycg7rUZS1FCqTPdbwuJA,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.388986,,2
sword-spade,art,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sYSbycg7rUZS1FCqTPdbwuJA,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.388986,,1
sword-spade,balance,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sYSbycg7rUZS1FCqTPdbwuJA,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.388986,,2
sword-spade,combat,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_egFi3Y8hlWlfiGLEcot0v71p,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.759525,,1
sword-spade,conflict,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_egFi3Y8hlWlfiGLEcot0v71p,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.759525,,1
sword-spade,contrast,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sYSbycg7rUZS1FCqTPdbwuJA,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.388986,,2
sword-spade,creativity,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sYSbycg7rUZS1FCqTPdbwuJA,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.388986,,1
sword-spade,crossed,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sYSbycg7rUZS1FCqTPdbwuJA,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.388986,,1
sword-spade,design,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sYSbycg7rUZS1FCqTPdbwuJA,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.388986,,1
sword-spade,drawing,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sYSbycg7rUZS1FCqTPdbwuJA,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.388986,,1
sword-spade,duality,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sYSbycg7rUZS1FCqTPdbwuJA,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.388986,,2
sword-spade,education,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sYSbycg7rUZS1FCqTPdbwuJA,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.388986,,1
sword-spade,experiment,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sYSbycg7rUZS1FCqTPdbwuJA,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.388986,,1
sword-spade,gardening,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_egFi3Y8hlWlfiGLEcot0v71p,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.759525,,1
sword-spade,graphic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sYSbycg7rUZS1FCqTPdbwuJA,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.388986,,1
sword-spade,iconic,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_egFi3Y8hlWlfiGLEcot0v71p,0,gpt-4o-2024-08-06,2024-08-18T22:29:25.759525,,1
sword-spade,injection,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sYSbycg7rUZS1FCqTPdbwuJA,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.388986,,1
sword-spade,innovation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sYSbycg7rUZS1FCqTPdbwuJA,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.388986,,1
sword-spade,intersection,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sYSbycg7rUZS1FCqTPdbwuJA,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.388986,,1
