icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
tacos,Mexican cuisine,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hV6xCR0XdUVP7wVtbnqPl0qP,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.186675,,1
tacos,food,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hV6xCR0XdUVP7wVtbnqPl0qP,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.186675,,1
tacos,taco,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hV6xCR0XdUVP7wVtbnqPl0qP,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.186675,,1
tacos,corn,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hV6xCR0XdUVP7wVtbnqPl0qP,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.186675,,1
tacos,crescent shape,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hV6xCR0XdUVP7wVtbnqPl0qP,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.186675,,1
tacos,cultural,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hV6xCR0XdUVP7wVtbnqPl0qP,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.186675,,1
tacos,fast food,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hV6xCR0XdUVP7wVtbnqPl0qP,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.186675,,1
tacos,filled,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hV6xCR0XdUVP7wVtbnqPl0qP,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.186675,,1
tacos,meal,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hV6xCR0XdUVP7wVtbnqPl0qP,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.186675,,1
tacos,shell,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hV6xCR0XdUVP7wVtbnqPl0qP,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.186675,,1
tacos,side view,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hV6xCR0XdUVP7wVtbnqPl0qP,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.186675,,1
tacos,snack,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hV6xCR0XdUVP7wVtbnqPl0qP,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.186675,,1
tacos,wrap,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hV6xCR0XdUVP7wVtbnqPl0qP,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.186675,,1
tacos,authentic,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hV6xCR0XdUVP7wVtbnqPl0qP,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.186675,,1
tacos,cuisine,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hV6xCR0XdUVP7wVtbnqPl0qP,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.186675,,1
tacos,dinner,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hV6xCR0XdUVP7wVtbnqPl0qP,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.186675,,1
tacos,global,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hV6xCR0XdUVP7wVtbnqPl0qP,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.186675,,1
tacos,gourmet,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hV6xCR0XdUVP7wVtbnqPl0qP,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.186675,,1
tacos,meat,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hV6xCR0XdUVP7wVtbnqPl0qP,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.186675,,1
tacos,spice,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hV6xCR0XdUVP7wVtbnqPl0qP,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.186675,,1
tacos,vegetables,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_hV6xCR0XdUVP7wVtbnqPl0qP,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.186675,,1
