icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
tangerine,burst,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U2ql0xPoQvAO9YwQBUi2LVyW,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.197676,,1
tangerine,eruption,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U2ql0xPoQvAO9YwQBUi2LVyW,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.197676,,1
tangerine,explosion,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U2ql0xPoQvAO9YwQBUi2LVyW,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.197676,,1
tangerine,impact,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U2ql0xPoQvAO9YwQBUi2LVyW,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.197676,,1
tangerine,alert,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U2ql0xPoQvAO9YwQBUi2LVyW,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.197676,,1
tangerine,break,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U2ql0xPoQvAO9YwQBUi2LVyW,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.197676,,1
tangerine,crack,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U2ql0xPoQvAO9YwQBUi2LVyW,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.197676,,1
tangerine,damage,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U2ql0xPoQvAO9YwQBUi2LVyW,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.197676,,1
tangerine,danger,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U2ql0xPoQvAO9YwQBUi2LVyW,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.197676,,1
tangerine,disruption,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U2ql0xPoQvAO9YwQBUi2LVyW,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.197676,,1
tangerine,fracture,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U2ql0xPoQvAO9YwQBUi2LVyW,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.197676,,1
tangerine,shockwave,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U2ql0xPoQvAO9YwQBUi2LVyW,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.197676,,1
tangerine,chaos,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U2ql0xPoQvAO9YwQBUi2LVyW,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.197676,,1
tangerine,destruction,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U2ql0xPoQvAO9YwQBUi2LVyW,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.197676,,1
tangerine,energy,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U2ql0xPoQvAO9YwQBUi2LVyW,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.197676,,1
tangerine,force,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U2ql0xPoQvAO9YwQBUi2LVyW,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.197676,,1
tangerine,power,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U2ql0xPoQvAO9YwQBUi2LVyW,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.197676,,1
tangerine,rupture,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U2ql0xPoQvAO9YwQBUi2LVyW,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.197676,,1
tangerine,scatter,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U2ql0xPoQvAO9YwQBUi2LVyW,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.197676,,1
tangerine,sudden,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U2ql0xPoQvAO9YwQBUi2LVyW,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.197676,,1
tangerine,violent,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U2ql0xPoQvAO9YwQBUi2LVyW,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.197676,,1
