icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
tarot-02-the-high-priestess,beetle,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VXnK2l45yjdcE5k6FVnmnCZv,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.373974,,1
tarot-02-the-high-priestess,insect,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VXnK2l45yjdcE5k6FVnmnCZv,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.373974,,1
tarot-02-the-high-priestess,scarab,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VXnK2l45yjdcE5k6FVnmnCZv,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.373974,,1
tarot-02-the-high-priestess,symbol,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VXnK2l45yjdcE5k6FVnmnCZv,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.373974,,1
tarot-02-the-high-priestess,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VXnK2l45yjdcE5k6FVnmnCZv,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.373974,,1
tarot-02-the-high-priestess,ancient,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VXnK2l45yjdcE5k6FVnmnCZv,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.373974,,1
tarot-02-the-high-priestess,ancient art,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VXnK2l45yjdcE5k6FVnmnCZv,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.373974,,1
tarot-02-the-high-priestess,artifact,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VXnK2l45yjdcE5k6FVnmnCZv,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.373974,,2
tarot-02-the-high-priestess,cultural,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VXnK2l45yjdcE5k6FVnmnCZv,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.373974,,1
tarot-02-the-high-priestess,decorative,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VXnK2l45yjdcE5k6FVnmnCZv,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.373974,,1
tarot-02-the-high-priestess,egyptian,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VXnK2l45yjdcE5k6FVnmnCZv,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.373974,,1
tarot-02-the-high-priestess,emblem,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VXnK2l45yjdcE5k6FVnmnCZv,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.373974,,1
tarot-02-the-high-priestess,hieroglyph,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VXnK2l45yjdcE5k6FVnmnCZv,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.373974,,1
tarot-02-the-high-priestess,mystical,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VXnK2l45yjdcE5k6FVnmnCZv,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.373974,,1
tarot-02-the-high-priestess,mythology,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VXnK2l45yjdcE5k6FVnmnCZv,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.373974,,1
tarot-02-the-high-priestess,protection,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VXnK2l45yjdcE5k6FVnmnCZv,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.373974,,1
tarot-02-the-high-priestess,religious,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VXnK2l45yjdcE5k6FVnmnCZv,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.374975,,1
tarot-02-the-high-priestess,ritual,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VXnK2l45yjdcE5k6FVnmnCZv,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.373974,,1
tarot-02-the-high-priestess,sacred,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VXnK2l45yjdcE5k6FVnmnCZv,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.373974,,1
tarot-02-the-high-priestess,bug,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VXnK2l45yjdcE5k6FVnmnCZv,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.373974,,1
tarot-02-the-high-priestess,design,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VXnK2l45yjdcE5k6FVnmnCZv,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.373974,,1
tarot-02-the-high-priestess,iconic,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VXnK2l45yjdcE5k6FVnmnCZv,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.373974,,1
tarot-02-the-high-priestess,nature,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VXnK2l45yjdcE5k6FVnmnCZv,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.373974,,1
tarot-02-the-high-priestess,ornamental,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VXnK2l45yjdcE5k6FVnmnCZv,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.373974,,1
