icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
thrown-spear,arrow,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_15PCuSTl92ztn2wmDoLiIk0K,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.524577,,2
thrown-spear,change,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_15PCuSTl92ztn2wmDoLiIk0K,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.524577,,1
thrown-spear,direction,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_15PCuSTl92ztn2wmDoLiIk0K,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.524577,,2
thrown-spear,motion,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_eHtjbuaYIbD6AoACL5aaJm7a,0,gpt-4o-2024-08-06,2024-08-18T22:29:26.044969,,1
thrown-spear,movement,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_15PCuSTl92ztn2wmDoLiIk0K,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.524577,,1
thrown-spear,navigation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_15PCuSTl92ztn2wmDoLiIk0K,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.524577,,1
thrown-spear,pointed,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_eHtjbuaYIbD6AoACL5aaJm7a,0,gpt-4o-2024-08-06,2024-08-18T22:29:26.044969,,1
thrown-spear,pointing,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_15PCuSTl92ztn2wmDoLiIk0K,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.524577,,1
thrown-spear,redirection,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_15PCuSTl92ztn2wmDoLiIk0K,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.524577,,1
thrown-spear,spear,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_eHtjbuaYIbD6AoACL5aaJm7a,0,gpt-4o-2024-08-06,2024-08-18T22:29:26.044969,,1
thrown-spear,throwing,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_eHtjbuaYIbD6AoACL5aaJm7a,0,gpt-4o-2024-08-06,2024-08-18T22:29:26.044969,,1
thrown-spear,weapon,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_eHtjbuaYIbD6AoACL5aaJm7a,0,gpt-4o-2024-08-06,2024-08-18T22:29:26.044969,,1
thrown-spear,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_15PCuSTl92ztn2wmDoLiIk0K,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.524577,,1
thrown-spear,action,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_eHtjbuaYIbD6AoACL5aaJm7a,0,gpt-4o-2024-08-06,2024-08-18T22:29:26.044969,,1
thrown-spear,agility,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_eHtjbuaYIbD6AoACL5aaJm7a,0,gpt-4o-2024-08-06,2024-08-18T22:29:26.044969,,1
thrown-spear,aim,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_eHtjbuaYIbD6AoACL5aaJm7a,0,gpt-4o-2024-08-06,2024-08-18T22:29:26.045920,,1
