icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
trade,arrows,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RCo9slYBPiJ9Z8vodKawYZ4P,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.567254,,2
trade,commerce,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ksShLlkDkme7HI5efThB7SXL,0,gpt-4o-2024-08-06,2024-08-18T22:29:26.188612,,1
trade,cycle,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RCo9slYBPiJ9Z8vodKawYZ4P,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.567254,,2
trade,data,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RCo9slYBPiJ9Z8vodKawYZ4P,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.567254,,1
trade,exchange,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RCo9slYBPiJ9Z8vodKawYZ4P,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.567254,,2
trade,interaction,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ksShLlkDkme7HI5efThB7SXL,0,gpt-4o-2024-08-06,2024-08-18T22:29:26.188612,,1
trade,loop,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RCo9slYBPiJ9Z8vodKawYZ4P,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.567254,,2
trade,reciprocity,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ksShLlkDkme7HI5efThB7SXL,0,gpt-4o-2024-08-06,2024-08-18T22:29:26.188612,,1
trade,recycle,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RCo9slYBPiJ9Z8vodKawYZ4P,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.567254,,1
trade,refresh,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RCo9slYBPiJ9Z8vodKawYZ4P,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.568254,,1
trade,reload,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RCo9slYBPiJ9Z8vodKawYZ4P,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.567254,,1
trade,squares,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RCo9slYBPiJ9Z8vodKawYZ4P,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.567254,,2
trade,sync,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RCo9slYBPiJ9Z8vodKawYZ4P,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.567254,,1
trade,trade,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ksShLlkDkme7HI5efThB7SXL,0,gpt-4o-2024-08-06,2024-08-18T22:29:26.188612,,1
trade,transaction,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ksShLlkDkme7HI5efThB7SXL,0,gpt-4o-2024-08-06,2024-08-18T22:29:26.188612,,1
trade,transfer,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RCo9slYBPiJ9Z8vodKawYZ4P,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.567254,,2
trade,update,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RCo9slYBPiJ9Z8vodKawYZ4P,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.567254,,1
trade,adjustment,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RCo9slYBPiJ9Z8vodKawYZ4P,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.568254,,1
trade,agreement,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ksShLlkDkme7HI5efThB7SXL,0,gpt-4o-2024-08-06,2024-08-18T22:29:26.188612,,1
trade,barter,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ksShLlkDkme7HI5efThB7SXL,0,gpt-4o-2024-08-06,2024-08-18T22:29:26.188612,,1
