icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
trap-mask,abstract,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8ya0BH6vN4alhJacSvjA22w6,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.577252,,1
trap-mask,angular,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8ya0BH6vN4alhJacSvjA22w6,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.577252,,1
trap-mask,blocky,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8ya0BH6vN4alhJacSvjA22w6,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.577252,,1
trap-mask,design,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8ya0BH6vN4alhJacSvjA22w6,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.577252,,1
trap-mask,eyes,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8ya0BH6vN4alhJacSvjA22w6,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.577252,,1
trap-mask,face,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8ya0BH6vN4alhJacSvjA22w6,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.577252,,1
trap-mask,geometric,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8ya0BH6vN4alhJacSvjA22w6,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.577252,,1
trap-mask,graphic,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8ya0BH6vN4alhJacSvjA22w6,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.577252,,1
trap-mask,iconic,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8ya0BH6vN4alhJacSvjA22w6,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.577252,,1
trap-mask,mask,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8ya0BH6vN4alhJacSvjA22w6,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.577252,,1
trap-mask,mouth,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8ya0BH6vN4alhJacSvjA22w6,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.577252,,1
trap-mask,sharp,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8ya0BH6vN4alhJacSvjA22w6,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.577252,,1
trap-mask,spiky,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8ya0BH6vN4alhJacSvjA22w6,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.577252,,1
trap-mask,stylized,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8ya0BH6vN4alhJacSvjA22w6,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.577252,,1
trap-mask,symmetry,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8ya0BH6vN4alhJacSvjA22w6,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.577252,,1
trap-mask,creature,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8ya0BH6vN4alhJacSvjA22w6,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.577252,,1
trap-mask,evil,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8ya0BH6vN4alhJacSvjA22w6,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.577252,,1
trap-mask,fearsome,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8ya0BH6vN4alhJacSvjA22w6,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.577252,,1
trap-mask,futuristic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8ya0BH6vN4alhJacSvjA22w6,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.577252,,1
trap-mask,helmet,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8ya0BH6vN4alhJacSvjA22w6,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.577252,,1
trap-mask,intimidating,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8ya0BH6vN4alhJacSvjA22w6,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.577252,,1
trap-mask,monster,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8ya0BH6vN4alhJacSvjA22w6,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.577252,,1
trap-mask,scary,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8ya0BH6vN4alhJacSvjA22w6,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.577252,,1
trap-mask,sinister,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8ya0BH6vN4alhJacSvjA22w6,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.577252,,1
trap-mask,villain,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8ya0BH6vN4alhJacSvjA22w6,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.577252,,1
