icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
tribal-gear,emblem,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7dIy29ImYkUKTii1PMdDt9x,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.370768,,1
tribal-gear,helmet,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7dIy29ImYkUKTii1PMdDt9x,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.370768,,1
tribal-gear,shield,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7dIy29ImYkUKTii1PMdDt9x,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.370768,,1
tribal-gear,spear,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7dIy29ImYkUKTii1PMdDt9x,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.370768,,1
tribal-gear,warrior,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7dIy29ImYkUKTii1PMdDt9x,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.370768,,1
tribal-gear,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7dIy29ImYkUKTii1PMdDt9x,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.370768,,1
tribal-gear,ancient warfare,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7dIy29ImYkUKTii1PMdDt9x,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.370768,,1
tribal-gear,armor,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7dIy29ImYkUKTii1PMdDt9x,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.370768,,1
tribal-gear,battle,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7dIy29ImYkUKTii1PMdDt9x,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.370768,,1
tribal-gear,combat,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7dIy29ImYkUKTii1PMdDt9x,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.370768,,1
tribal-gear,courage,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7dIy29ImYkUKTii1PMdDt9x,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.370768,,1
tribal-gear,defense,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7dIy29ImYkUKTii1PMdDt9x,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.370768,,1
tribal-gear,heroic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7dIy29ImYkUKTii1PMdDt9x,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.370768,,1
tribal-gear,iconography,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7dIy29ImYkUKTii1PMdDt9x,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.370768,,1
tribal-gear,martial,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7dIy29ImYkUKTii1PMdDt9x,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.370768,,1
tribal-gear,military,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7dIy29ImYkUKTii1PMdDt9x,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.370768,,1
tribal-gear,protection,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7dIy29ImYkUKTii1PMdDt9x,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.370768,,1
tribal-gear,protection gear,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7dIy29ImYkUKTii1PMdDt9x,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.370768,,1
tribal-gear,strength,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7dIy29ImYkUKTii1PMdDt9x,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.370768,,1
tribal-gear,symbolism,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7dIy29ImYkUKTii1PMdDt9x,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.370768,,1
tribal-gear,Greek warrior,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7dIy29ImYkUKTii1PMdDt9x,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.370768,,1
tribal-gear,Roman soldier,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7dIy29ImYkUKTii1PMdDt9x,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.370768,,1
tribal-gear,historical,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7dIy29ImYkUKTii1PMdDt9x,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.370768,,1
tribal-gear,knight,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7dIy29ImYkUKTii1PMdDt9x,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.370768,,1
tribal-gear,medieval,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7dIy29ImYkUKTii1PMdDt9x,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.370768,,1
tribal-gear,mythological,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7dIy29ImYkUKTii1PMdDt9x,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.370768,,1
