icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
tribal-pendant,antenna,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QBXkVDN4ZRSglSsppIcU77UA,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.372832,,1
tribal-pendant,bug,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QBXkVDN4ZRSglSsppIcU77UA,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.372832,,1
tribal-pendant,cultural,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_NTHASlMSH8HTZjt3sSgvWtIr,0,gpt-4o-2024-08-06,2024-08-18T22:29:13.650273,,1
tribal-pendant,geometric,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_NTHASlMSH8HTZjt3sSgvWtIr,0,gpt-4o-2024-08-06,2024-08-18T22:29:13.650273,,1
tribal-pendant,insect,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QBXkVDN4ZRSglSsppIcU77UA,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.372832,,1
tribal-pendant,pendant,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_NTHASlMSH8HTZjt3sSgvWtIr,0,gpt-4o-2024-08-06,2024-08-18T22:29:13.650273,,1
tribal-pendant,symmetry,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QBXkVDN4ZRSglSsppIcU77UA,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.372832,,1
tribal-pendant,tribal,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_NTHASlMSH8HTZjt3sSgvWtIr,0,gpt-4o-2024-08-06,2024-08-18T22:29:13.650273,,1
tribal-pendant,amulet,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_NTHASlMSH8HTZjt3sSgvWtIr,0,gpt-4o-2024-08-06,2024-08-18T22:29:13.650273,,1
tribal-pendant,animal,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QBXkVDN4ZRSglSsppIcU77UA,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.372832,,1
tribal-pendant,artistic,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_NTHASlMSH8HTZjt3sSgvWtIr,0,gpt-4o-2024-08-06,2024-08-18T22:29:13.650273,,1
tribal-pendant,ceremonial,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_NTHASlMSH8HTZjt3sSgvWtIr,0,gpt-4o-2024-08-06,2024-08-18T22:29:13.650273,,1
tribal-pendant,craft,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_NTHASlMSH8HTZjt3sSgvWtIr,0,gpt-4o-2024-08-06,2024-08-18T22:29:13.650273,,1
