icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
trident-shield,defense,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HMlPGVbXIcJFDh6LJ9ztDbHe,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.379822,,1
trident-shield,protection,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HMlPGVbXIcJFDh6LJ9ztDbHe,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.379822,,1
trident-shield,security,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HMlPGVbXIcJFDh6LJ9ztDbHe,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.379822,,1
trident-shield,shield,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HMlPGVbXIcJFDh6LJ9ztDbHe,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.379822,,1
trident-shield,armor,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HMlPGVbXIcJFDh6LJ9ztDbHe,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.379822,,1
trident-shield,arrows,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HMlPGVbXIcJFDh6LJ9ztDbHe,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.379822,,1
trident-shield,badge,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HMlPGVbXIcJFDh6LJ9ztDbHe,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.379822,,1
trident-shield,crest,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HMlPGVbXIcJFDh6LJ9ztDbHe,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.379822,,2
trident-shield,direction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HMlPGVbXIcJFDh6LJ9ztDbHe,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.379822,,1
trident-shield,emblem,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HMlPGVbXIcJFDh6LJ9ztDbHe,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.379822,,1
trident-shield,fortification,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HMlPGVbXIcJFDh6LJ9ztDbHe,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.379822,,1
trident-shield,fortress,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HMlPGVbXIcJFDh6LJ9ztDbHe,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.379822,,1
trident-shield,guard,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HMlPGVbXIcJFDh6LJ9ztDbHe,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.379822,,1
trident-shield,navigation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HMlPGVbXIcJFDh6LJ9ztDbHe,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.379822,,1
trident-shield,power,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HMlPGVbXIcJFDh6LJ9ztDbHe,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.380768,,1
trident-shield,strategy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HMlPGVbXIcJFDh6LJ9ztDbHe,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.379822,,1
trident-shield,strength,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HMlPGVbXIcJFDh6LJ9ztDbHe,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.379822,,1
trident-shield,symbolic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HMlPGVbXIcJFDh6LJ9ztDbHe,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.379822,,1
trident-shield,symmetry,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HMlPGVbXIcJFDh6LJ9ztDbHe,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.379822,,1
trident-shield,archery,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HMlPGVbXIcJFDh6LJ9ztDbHe,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.380768,,1
trident-shield,concave shapes,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HMlPGVbXIcJFDh6LJ9ztDbHe,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.380768,,1
trident-shield,control,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HMlPGVbXIcJFDh6LJ9ztDbHe,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.380768,,1
trident-shield,emblematic,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HMlPGVbXIcJFDh6LJ9ztDbHe,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.380768,,1
trident-shield,indicator,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HMlPGVbXIcJFDh6LJ9ztDbHe,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.379822,,1
trident-shield,line,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HMlPGVbXIcJFDh6LJ9ztDbHe,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.380768,,1
trident-shield,marking,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HMlPGVbXIcJFDh6LJ9ztDbHe,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.379822,,1
