icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
triple-lock,balance,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fQVAo1n7mUghjvgOTVlpi2p5,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.606252,,1
triple-lock,circular,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fQVAo1n7mUghjvgOTVlpi2p5,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.606252,,1
triple-lock,connection,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fQVAo1n7mUghjvgOTVlpi2p5,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.606252,,1
triple-lock,fusion,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fQVAo1n7mUghjvgOTVlpi2p5,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.606252,,1
triple-lock,harmony,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fQVAo1n7mUghjvgOTVlpi2p5,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.606252,,1
triple-lock,movement,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fQVAo1n7mUghjvgOTVlpi2p5,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.606252,,1
triple-lock,symbolic,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fQVAo1n7mUghjvgOTVlpi2p5,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.606252,,1
triple-lock,unity,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fQVAo1n7mUghjvgOTVlpi2p5,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.606252,,1
triple-lock,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fQVAo1n7mUghjvgOTVlpi2p5,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.606252,,1
triple-lock,abstract art,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fQVAo1n7mUghjvgOTVlpi2p5,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.606252,,1
triple-lock,continuity,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fQVAo1n7mUghjvgOTVlpi2p5,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.606252,,1
triple-lock,cycle,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fQVAo1n7mUghjvgOTVlpi2p5,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.606252,,1
triple-lock,decorative,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fQVAo1n7mUghjvgOTVlpi2p5,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.606252,,1
triple-lock,design,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fQVAo1n7mUghjvgOTVlpi2p5,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.606252,,1
triple-lock,emblem,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fQVAo1n7mUghjvgOTVlpi2p5,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.606252,,1
triple-lock,energy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fQVAo1n7mUghjvgOTVlpi2p5,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.606252,,1
triple-lock,flow,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fQVAo1n7mUghjvgOTVlpi2p5,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.606252,,1
triple-lock,geometric,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fQVAo1n7mUghjvgOTVlpi2p5,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.606252,,1
triple-lock,interlock,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fQVAo1n7mUghjvgOTVlpi2p5,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.606252,,1
triple-lock,intertwined,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fQVAo1n7mUghjvgOTVlpi2p5,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.606252,,1
triple-lock,pattern,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fQVAo1n7mUghjvgOTVlpi2p5,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.606252,,1
triple-lock,rotation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fQVAo1n7mUghjvgOTVlpi2p5,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.606252,,1
triple-lock,tribal,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fQVAo1n7mUghjvgOTVlpi2p5,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.606252,,1
triple-lock,spiritual,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fQVAo1n7mUghjvgOTVlpi2p5,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.606252,,1
