icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
tv-remote,buttons,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_THqASSAtn9cJYsSIp4cDuWfV,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.425771,,2
tv-remote,control,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_THqASSAtn9cJYsSIp4cDuWfV,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.425771,,2
tv-remote,electronics,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_THqASSAtn9cJYsSIp4cDuWfV,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.425771,,2
tv-remote,remote control,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_THqASSAtn9cJYsSIp4cDuWfV,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.425771,,2
tv-remote,tv-remote,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_snFkAUli0jKaZvQCA24G00Gm,0,gpt-4o-2024-08-06,2024-08-18T22:29:13.870785,,1
tv-remote,access,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_snFkAUli0jKaZvQCA24G00Gm,0,gpt-4o-2024-08-06,2024-08-18T22:29:13.870785,,1
tv-remote,adjustments,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_snFkAUli0jKaZvQCA24G00Gm,0,gpt-4o-2024-08-06,2024-08-18T22:29:13.870785,,1
tv-remote,circles,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_snFkAUli0jKaZvQCA24G00Gm,0,gpt-4o-2024-08-06,2024-08-18T22:29:13.870785,,1
tv-remote,commands,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_THqASSAtn9cJYsSIp4cDuWfV,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.425771,,2
tv-remote,device,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_THqASSAtn9cJYsSIp4cDuWfV,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.425771,,2
