icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
vampire-cape,elegance,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X7LRkD75DIqzcuTsbQ1BTH7k,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.478462,,1
vampire-cape,fashion,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X7LRkD75DIqzcuTsbQ1BTH7k,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.478462,,1
vampire-cape,gown,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X7LRkD75DIqzcuTsbQ1BTH7k,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.478462,,1
vampire-cape,symmetry,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X7LRkD75DIqzcuTsbQ1BTH7k,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.478462,,1
vampire-cape,visual balance,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X7LRkD75DIqzcuTsbQ1BTH7k,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.478462,,1
vampire-cape,abstract art,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X7LRkD75DIqzcuTsbQ1BTH7k,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.478462,,1
vampire-cape,artistic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X7LRkD75DIqzcuTsbQ1BTH7k,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.478462,,1
vampire-cape,chic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X7LRkD75DIqzcuTsbQ1BTH7k,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.478462,,1
vampire-cape,creative,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X7LRkD75DIqzcuTsbQ1BTH7k,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.478462,,1
vampire-cape,design,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X7LRkD75DIqzcuTsbQ1BTH7k,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.478462,,1
vampire-cape,fashion industry,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X7LRkD75DIqzcuTsbQ1BTH7k,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.478462,,1
vampire-cape,figure,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X7LRkD75DIqzcuTsbQ1BTH7k,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.478462,,1
vampire-cape,figure drawing,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X7LRkD75DIqzcuTsbQ1BTH7k,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.478462,,1
vampire-cape,formal,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X7LRkD75DIqzcuTsbQ1BTH7k,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.478462,,1
vampire-cape,formal attire,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X7LRkD75DIqzcuTsbQ1BTH7k,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.478462,,1
vampire-cape,gracefulness,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X7LRkD75DIqzcuTsbQ1BTH7k,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.478462,,1
vampire-cape,iconic representation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X7LRkD75DIqzcuTsbQ1BTH7k,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.478462,,1
vampire-cape,minimalist,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X7LRkD75DIqzcuTsbQ1BTH7k,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.478462,,1
vampire-cape,silhouette,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X7LRkD75DIqzcuTsbQ1BTH7k,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.478462,,1
vampire-cape,style,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X7LRkD75DIqzcuTsbQ1BTH7k,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.478462,,1
vampire-cape,symmetrical design,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X7LRkD75DIqzcuTsbQ1BTH7k,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.478462,,1
vampire-cape,duality,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X7LRkD75DIqzcuTsbQ1BTH7k,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.478462,,1
vampire-cape,hourglass,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X7LRkD75DIqzcuTsbQ1BTH7k,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.478462,,1
vampire-cape,pattern,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X7LRkD75DIqzcuTsbQ1BTH7k,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.478462,,1
vampire-cape,waist,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X7LRkD75DIqzcuTsbQ1BTH7k,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.478462,,1
