icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
vibrating-ball,center,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aUCWsHtGPvcI6SGOy1wUka8m,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.692788,,1
vibrating-ball,circle,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aUCWsHtGPvcI6SGOy1wUka8m,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.692788,,1
vibrating-ball,dynamic,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aUCWsHtGPvcI6SGOy1wUka8m,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.692788,,1
vibrating-ball,energy,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aUCWsHtGPvcI6SGOy1wUka8m,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.692788,,1
vibrating-ball,motion,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aUCWsHtGPvcI6SGOy1wUka8m,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.692788,,1
vibrating-ball,rotation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aUCWsHtGPvcI6SGOy1wUka8m,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.692788,,1
vibrating-ball,spiral,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aUCWsHtGPvcI6SGOy1wUka8m,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.692788,,1
vibrating-ball,vortex,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aUCWsHtGPvcI6SGOy1wUka8m,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.692788,,1
vibrating-ball,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aUCWsHtGPvcI6SGOy1wUka8m,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.692788,,1
vibrating-ball,balance,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aUCWsHtGPvcI6SGOy1wUka8m,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.692788,,1
vibrating-ball,black hole,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aUCWsHtGPvcI6SGOy1wUka8m,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.692788,,1
vibrating-ball,centralization,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aUCWsHtGPvcI6SGOy1wUka8m,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.692788,,1
vibrating-ball,concentration,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aUCWsHtGPvcI6SGOy1wUka8m,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.692788,,1
vibrating-ball,cyclone,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aUCWsHtGPvcI6SGOy1wUka8m,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.692788,,1
vibrating-ball,expansion,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aUCWsHtGPvcI6SGOy1wUka8m,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.692788,,1
vibrating-ball,focus,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aUCWsHtGPvcI6SGOy1wUka8m,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.692788,,1
vibrating-ball,gravity,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aUCWsHtGPvcI6SGOy1wUka8m,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.692788,,1
vibrating-ball,swirl,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aUCWsHtGPvcI6SGOy1wUka8m,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.692788,,1
vibrating-ball,turbulence,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aUCWsHtGPvcI6SGOy1wUka8m,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.692788,,1
vibrating-ball,universe,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aUCWsHtGPvcI6SGOy1wUka8m,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.692788,,1
vibrating-ball,whirl,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aUCWsHtGPvcI6SGOy1wUka8m,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.692788,,1
vibrating-ball,ballet,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aUCWsHtGPvcI6SGOy1wUka8m,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.692788,,1
vibrating-ball,convergence,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aUCWsHtGPvcI6SGOy1wUka8m,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.692788,,1
