icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
viking-shield,accuracy,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Uh2SGVW83Jp97cWx3JCciqO0,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.514476,,1
viking-shield,aim,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Uh2SGVW83Jp97cWx3JCciqO0,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.514476,,1
viking-shield,bullseye,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Uh2SGVW83Jp97cWx3JCciqO0,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.514476,,1
viking-shield,circle,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_O3aSPxkqo8hbwnXljv3TafDy,0,gpt-4o-2024-08-06,2024-08-18T22:29:14.373729,,1
viking-shield,concentric circles,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Uh2SGVW83Jp97cWx3JCciqO0,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.514476,,1
viking-shield,defense,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_O3aSPxkqo8hbwnXljv3TafDy,0,gpt-4o-2024-08-06,2024-08-18T22:29:14.373729,,1
viking-shield,design,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_O3aSPxkqo8hbwnXljv3TafDy,0,gpt-4o-2024-08-06,2024-08-18T22:29:14.373729,,1
viking-shield,focus,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Uh2SGVW83Jp97cWx3JCciqO0,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.514476,,1
viking-shield,precision,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Uh2SGVW83Jp97cWx3JCciqO0,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.514476,,1
viking-shield,protection,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_O3aSPxkqo8hbwnXljv3TafDy,0,gpt-4o-2024-08-06,2024-08-18T22:29:14.373729,,1
viking-shield,round,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_O3aSPxkqo8hbwnXljv3TafDy,0,gpt-4o-2024-08-06,2024-08-18T22:29:14.373729,,1
viking-shield,shield,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_O3aSPxkqo8hbwnXljv3TafDy,0,gpt-4o-2024-08-06,2024-08-18T22:29:14.373729,,1
viking-shield,target,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Uh2SGVW83Jp97cWx3JCciqO0,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.514476,,1
viking-shield,viking,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_O3aSPxkqo8hbwnXljv3TafDy,0,gpt-4o-2024-08-06,2024-08-18T22:29:14.373729,,1
viking-shield,alignment,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Uh2SGVW83Jp97cWx3JCciqO0,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.514476,,1
viking-shield,ancient,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_O3aSPxkqo8hbwnXljv3TafDy,0,gpt-4o-2024-08-06,2024-08-18T22:29:14.373729,,1
viking-shield,armory,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_O3aSPxkqo8hbwnXljv3TafDy,0,gpt-4o-2024-08-06,2024-08-18T22:29:14.373729,,1
viking-shield,barriers,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_O3aSPxkqo8hbwnXljv3TafDy,0,gpt-4o-2024-08-06,2024-08-18T22:29:14.373729,,1
viking-shield,battle,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_O3aSPxkqo8hbwnXljv3TafDy,0,gpt-4o-2024-08-06,2024-08-18T22:29:14.373729,,1
viking-shield,center,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Uh2SGVW83Jp97cWx3JCciqO0,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.514476,,1
viking-shield,circles,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_O3aSPxkqo8hbwnXljv3TafDy,0,gpt-4o-2024-08-06,2024-08-18T22:29:14.373729,,1
viking-shield,core,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Uh2SGVW83Jp97cWx3JCciqO0,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.514476,,1
viking-shield,dartboard,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Uh2SGVW83Jp97cWx3JCciqO0,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.514476,,1
viking-shield,engraved,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_O3aSPxkqo8hbwnXljv3TafDy,0,gpt-4o-2024-08-06,2024-08-18T22:29:14.373729,,1
viking-shield,goal,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Uh2SGVW83Jp97cWx3JCciqO0,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.514476,,1
viking-shield,heritage,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_O3aSPxkqo8hbwnXljv3TafDy,0,gpt-4o-2024-08-06,2024-08-18T22:29:14.373729,,1
viking-shield,historic,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_O3aSPxkqo8hbwnXljv3TafDy,0,gpt-4o-2024-08-06,2024-08-18T22:29:14.373729,,1
viking-shield,hub,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Uh2SGVW83Jp97cWx3JCciqO0,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.514476,,1
viking-shield,lines,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_O3aSPxkqo8hbwnXljv3TafDy,0,gpt-4o-2024-08-06,2024-08-18T22:29:14.373729,,1
viking-shield,medieval,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_O3aSPxkqo8hbwnXljv3TafDy,0,gpt-4o-2024-08-06,2024-08-18T22:29:14.373729,,1
viking-shield,objective,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Uh2SGVW83Jp97cWx3JCciqO0,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.514476,,1
viking-shield,patterns,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_O3aSPxkqo8hbwnXljv3TafDy,0,gpt-4o-2024-08-06,2024-08-18T22:29:14.373729,,1
viking-shield,rings,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Uh2SGVW83Jp97cWx3JCciqO0,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.514476,,1
viking-shield,strength,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_O3aSPxkqo8hbwnXljv3TafDy,0,gpt-4o-2024-08-06,2024-08-18T22:29:14.373729,,1
viking-shield,tribal,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_O3aSPxkqo8hbwnXljv3TafDy,0,gpt-4o-2024-08-06,2024-08-18T22:29:14.373729,,1
viking-shield,warfare,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_O3aSPxkqo8hbwnXljv3TafDy,0,gpt-4o-2024-08-06,2024-08-18T22:29:14.373729,,1
viking-shield,weapon,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_O3aSPxkqo8hbwnXljv3TafDy,0,gpt-4o-2024-08-06,2024-08-18T22:29:14.373729,,1
viking-shield,art,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_O3aSPxkqo8hbwnXljv3TafDy,0,gpt-4o-2024-08-06,2024-08-18T22:29:14.373729,,1
