icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
war-axe,abstract,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r9IfFp46MsTi7KiIVbwDDnCE,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.548114,,1
war-axe,design,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r9IfFp46MsTi7KiIVbwDDnCE,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.548114,,1
war-axe,dual meaning,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r9IfFp46MsTi7KiIVbwDDnCE,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.548114,,1
war-axe,paintbrush,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r9IfFp46MsTi7KiIVbwDDnCE,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.548114,,1
war-axe,painting,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r9IfFp46MsTi7KiIVbwDDnCE,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.548114,,1
war-axe,spear,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r9IfFp46MsTi7KiIVbwDDnCE,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.548114,,1
war-axe,symbol,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r9IfFp46MsTi7KiIVbwDDnCE,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.548114,,1
war-axe,symbolism,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r9IfFp46MsTi7KiIVbwDDnCE,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.548114,,1
war-axe,art versus war,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r9IfFp46MsTi7KiIVbwDDnCE,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.548114,,1
war-axe,artistic expression,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r9IfFp46MsTi7KiIVbwDDnCE,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.548114,,1
war-axe,battle,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r9IfFp46MsTi7KiIVbwDDnCE,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.548114,,1
war-axe,conceptual,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r9IfFp46MsTi7KiIVbwDDnCE,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.548114,,1
war-axe,conflict,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r9IfFp46MsTi7KiIVbwDDnCE,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.548114,,1
war-axe,contrast,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r9IfFp46MsTi7KiIVbwDDnCE,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.548114,,1
war-axe,creativity,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r9IfFp46MsTi7KiIVbwDDnCE,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.548114,,1
war-axe,creativity versus aggression,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r9IfFp46MsTi7KiIVbwDDnCE,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.548114,,1
war-axe,iconic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r9IfFp46MsTi7KiIVbwDDnCE,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.548114,,1
war-axe,illustration,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r9IfFp46MsTi7KiIVbwDDnCE,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.548114,,1
war-axe,juxtaposition,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r9IfFp46MsTi7KiIVbwDDnCE,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.548114,,1
war-axe,motif,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r9IfFp46MsTi7KiIVbwDDnCE,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.548114,,1
war-axe,visual art,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r9IfFp46MsTi7KiIVbwDDnCE,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.548114,,1
war-axe,weapon,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r9IfFp46MsTi7KiIVbwDDnCE,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.548114,,1
war-axe,balance,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r9IfFp46MsTi7KiIVbwDDnCE,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.548114,,1
war-axe,cultural,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r9IfFp46MsTi7KiIVbwDDnCE,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.548114,,1
war-axe,harmony,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r9IfFp46MsTi7KiIVbwDDnCE,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.548114,,1
war-axe,philosophy,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r9IfFp46MsTi7KiIVbwDDnCE,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.548114,,1
