icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
war-bonnet,chief,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_Bwx8AfXeK5d3D8ZbmVsgSlJe,0,gpt-4o-2024-08-06,2024-08-18T22:29:14.495833,,1
war-bonnet,feathered,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9KSPdMmltOSPUOGx9heOAku4,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.550198,,1
war-bonnet,feathers,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_Bwx8AfXeK5d3D8ZbmVsgSlJe,0,gpt-4o-2024-08-06,2024-08-18T22:29:14.495833,,1
war-bonnet,headdress,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9KSPdMmltOSPUOGx9heOAku4,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.550198,,2
war-bonnet,headpiece,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9KSPdMmltOSPUOGx9heOAku4,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.550198,,1
war-bonnet,icon,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9KSPdMmltOSPUOGx9heOAku4,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.550198,,1
war-bonnet,indigenous,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9KSPdMmltOSPUOGx9heOAku4,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.550198,,1
war-bonnet,native culture,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_Bwx8AfXeK5d3D8ZbmVsgSlJe,0,gpt-4o-2024-08-06,2024-08-18T22:29:14.495833,,1
war-bonnet,representation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9KSPdMmltOSPUOGx9heOAku4,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.550198,,2
war-bonnet,tribal,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9KSPdMmltOSPUOGx9heOAku4,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.550198,,2
war-bonnet,war-bonnet,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_Bwx8AfXeK5d3D8ZbmVsgSlJe,0,gpt-4o-2024-08-06,2024-08-18T22:29:14.495833,,1
war-bonnet,artistic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9KSPdMmltOSPUOGx9heOAku4,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.550198,,1
war-bonnet,ceremonial,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9KSPdMmltOSPUOGx9heOAku4,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.550198,,1
war-bonnet,ceremony,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_Bwx8AfXeK5d3D8ZbmVsgSlJe,0,gpt-4o-2024-08-06,2024-08-18T22:29:14.495833,,1
war-bonnet,culture,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9KSPdMmltOSPUOGx9heOAku4,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.550198,,2
