icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
watermelon,boat,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_WO2ucDEDYXtL4ntFT6p5IM4v,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.589176,,1
watermelon,maritime,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_WO2ucDEDYXtL4ntFT6p5IM4v,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.589176,,1
watermelon,nautical,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_WO2ucDEDYXtL4ntFT6p5IM4v,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.589176,,1
watermelon,sailing,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_WO2ucDEDYXtL4ntFT6p5IM4v,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.589176,,1
watermelon,ship,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_WO2ucDEDYXtL4ntFT6p5IM4v,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.589176,,1
watermelon,direction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_WO2ucDEDYXtL4ntFT6p5IM4v,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.590189,,1
watermelon,discovery,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_WO2ucDEDYXtL4ntFT6p5IM4v,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.590189,,1
watermelon,exploration,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_WO2ucDEDYXtL4ntFT6p5IM4v,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.590189,,1
watermelon,journey,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_WO2ucDEDYXtL4ntFT6p5IM4v,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.590189,,1
watermelon,movement,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_WO2ucDEDYXtL4ntFT6p5IM4v,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.589176,,1
watermelon,navigation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_WO2ucDEDYXtL4ntFT6p5IM4v,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.589176,,1
watermelon,ocean,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_WO2ucDEDYXtL4ntFT6p5IM4v,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.589176,,1
watermelon,sea,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_WO2ucDEDYXtL4ntFT6p5IM4v,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.589176,,1
watermelon,transportation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_WO2ucDEDYXtL4ntFT6p5IM4v,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.589176,,1
watermelon,travel,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_WO2ucDEDYXtL4ntFT6p5IM4v,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.589176,,1
watermelon,voyage,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_WO2ucDEDYXtL4ntFT6p5IM4v,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.589176,,1
watermelon,wave,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_WO2ucDEDYXtL4ntFT6p5IM4v,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.589176,,1
watermelon,wind,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_WO2ucDEDYXtL4ntFT6p5IM4v,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.589176,,1
watermelon,adventure,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_WO2ucDEDYXtL4ntFT6p5IM4v,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.589176,,1
watermelon,freedom,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_WO2ucDEDYXtL4ntFT6p5IM4v,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.590189,,1
watermelon,horizon,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_WO2ucDEDYXtL4ntFT6p5IM4v,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.590189,,1
watermelon,symbolism,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_WO2ucDEDYXtL4ntFT6p5IM4v,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.590189,,1
