icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
wavy-itinerary,arrow,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HaFlsmxbXm0IUIUPDhZDS6ix,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.741595,,1
wavy-itinerary,curve,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HaFlsmxbXm0IUIUPDhZDS6ix,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.741595,,1
wavy-itinerary,direction,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HaFlsmxbXm0IUIUPDhZDS6ix,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.741595,,1
wavy-itinerary,flow,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HaFlsmxbXm0IUIUPDhZDS6ix,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.741595,,1
wavy-itinerary,path,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HaFlsmxbXm0IUIUPDhZDS6ix,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.741595,,1
wavy-itinerary,turn,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HaFlsmxbXm0IUIUPDhZDS6ix,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.741595,,1
wavy-itinerary,change,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HaFlsmxbXm0IUIUPDhZDS6ix,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.741595,,1
wavy-itinerary,guidance,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HaFlsmxbXm0IUIUPDhZDS6ix,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.741595,,1
wavy-itinerary,loop,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HaFlsmxbXm0IUIUPDhZDS6ix,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.741595,,1
wavy-itinerary,motion,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HaFlsmxbXm0IUIUPDhZDS6ix,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.741595,,1
wavy-itinerary,movement,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HaFlsmxbXm0IUIUPDhZDS6ix,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.741595,,1
wavy-itinerary,navigation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HaFlsmxbXm0IUIUPDhZDS6ix,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.741595,,1
wavy-itinerary,sign,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HaFlsmxbXm0IUIUPDhZDS6ix,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.741595,,1
wavy-itinerary,swoosh,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HaFlsmxbXm0IUIUPDhZDS6ix,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.741595,,1
wavy-itinerary,trajectory,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HaFlsmxbXm0IUIUPDhZDS6ix,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.741595,,1
wavy-itinerary,transformation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HaFlsmxbXm0IUIUPDhZDS6ix,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.741595,,1
wavy-itinerary,transition,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HaFlsmxbXm0IUIUPDhZDS6ix,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.741595,,1
wavy-itinerary,turnaround,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HaFlsmxbXm0IUIUPDhZDS6ix,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.741595,,1
wavy-itinerary,adjustment,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HaFlsmxbXm0IUIUPDhZDS6ix,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.741595,,1
wavy-itinerary,decoration,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HaFlsmxbXm0IUIUPDhZDS6ix,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.741595,,1
wavy-itinerary,design,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HaFlsmxbXm0IUIUPDhZDS6ix,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.741595,,1
wavy-itinerary,dynamics,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HaFlsmxbXm0IUIUPDhZDS6ix,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.741595,,1
wavy-itinerary,progress,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HaFlsmxbXm0IUIUPDhZDS6ix,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.741595,,1
wavy-itinerary,style,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HaFlsmxbXm0IUIUPDhZDS6ix,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.741595,,1
wavy-itinerary,swirl,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HaFlsmxbXm0IUIUPDhZDS6ix,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.741595,,1
